Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
VPRBP,-0.142839815384362,6.38388674355319,-0.487534250579872,0.635694276424844,0.99997228760791,-4.67511332634695,-1.10407625309859,96.7953331624651,103.215070123755,71.7669864350069,102.426039803682,80.6150701238666,156.127408433637,57.445887081235,68.8728046418021,58.9280825915983,76.552073506745,6
VPS11,-0.0706503199216749,7.1465927812661,-0.345854901101975,0.736141968544743,0.99997228760791,-4.68686524229027,-1.05018996836711,144.326781919811,176.523498167545,123.745508879168,207.645392738524,123.859382260925,150.715070123755,121.180719354065,132.315070123755,109.15511142886,152.480475041835,5
VPS13A,-0.122216325441841,5.50874782086954,-0.21425823265913,0.83459956500027,0.99997228760791,-4.69405538312692,-1.08868987031093,50.1771141256666,77.5337625535911,39.2014277362598,103.576025151174,47.6146476814751,160.019968355811,18.1975977699232,21.7353365475667,20.5462872611287,63.3147951263711,7.5
VPS13B,-0.0845207572235572,5.78529462238539,-0.446895401232699,0.670120127078303,0.99997228760791,-4.65731412776339,-0.0631099968969435,55.1905152131138,55.1726530596278,73.7716083023784,89.9573255267747,50.5795954802686,86.1433208818269,45.1389663676216,50.533391980868,51.904218664576,56.699756290764,8
VPS13C,0.111401184554199,4.91575842919718,0.30888413521428,0.539973900438094,0.99997228760791,-4.65640353894082,1.08186059972119,51.3270194830661,30.2343557186652,42.0753969682113,82.5768857858143,68.1170946799731,82.1194373986249,16.4309560794934,46.4202779663831,27.0128341286861,62.8535458627659,9.5
VPS13D,0.0297116887987507,6.30811444702469,0.158384542106316,0.877436163358045,0.99997228760791,-4.69592512235539,1.02081640435889,115.329931867642,89.9866667710951,90.4814526126278,93.8918401645856,102.294781507536,101.828217138992,106.025303307655,100.707444275003,87.8236546448544,117.511326649608,9.5
VPS18,0.297361196915872,5.34153651594271,1.05727125421188,0.313625611633837,0.99997228760791,-4.594263155529,1.22889461121373,33.6384917211709,40.6693163021453,31.6085091893336,49.5221465376479,39.3542362301805,78.9150701240793,41.2883443468992,32.0091280891206,49.5470662169414,27.5835139028099,7
VPS25,-0.0689236112564341,5.24764170859162,-0.482403323474609,0.639216307289736,0.99997228760791,-4.67560401324963,-1.04893378648476,43.555538313878,43.7772856604853,31.7959219746463,40.3775367580331,33.5002523501743,37.7530633324302,41.8952813286138,36.3518084156043,37.5371815469242,35.4012893902896,5
VPS26A,-0.0789579327611453,4.52003643064897,0.22526653897974,0.599195747954623,0.99997228760791,-4.66365761864823,-0.0629848771721911,94.5394636199134,93.7037957968391,62.1582784151356,197.128375397883,92.7910788268353,233.722742670392,15.2177978987287,40.4578311879416,22.299876302063,129.779487469529,7.5
VPS28,0.318754848205417,5.62840928490418,0.974729471267079,0.351171397295309,0.99997228760791,-4.60881241956337,1.24725361274517,37.3342374773605,56.043555550165,36.376598259993,104.566251183531,38.1661193040781,77.9422225085674,50.9151819997233,36.2574303176034,45.0966909344284,44.5157661170299,4
VPS29,0.255711302553546,5.27641948817352,0.347584282988858,0.734879153022727,0.99997228760791,-4.68674471687243,1.19392424720083,37.1572516784812,52.0975353194531,20.7285834008089,118.974873522498,61.2125492613487,102.214699585174,14.2965207252693,16.6689848505181,15.3487858543524,70.0087558189184,5
