ensembl_gene_id,hgnc_symbol,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL
ENSG00000185651,UBE2L3,150.9347575,206.4860175,241.2026596,272.8236945,188.4119647,181.3924218,188.5365631
ENSG00000132549,VPS13B,172.4922737,189.0822281,169.1500984,161.5819282,117.5224278,131.5378443,133.0319962
ENSG00000184575,XPOT,287.0741921,207.1594559,237.8920638,200.6760362,155.8823025,205.037739,185.0715214
ENSG00000119596,YLPM1,231.0719353,164.7650451,200.3697512,171.5701908,181.7903682,201.2328472,196.9183467
ENSG00000136758,YME1L1,970.7724545,1286.556745,1268.568287,943.404604,875.6976744,1016.093745,824.9041059
ENSG00000128016,ZFP36,269.5688542,510.154224,412.0128359,500.1273909,600.5804952,183.3740257,230.3799485
ENSG00000072121,ZFYVE26,196.7623539,225.630563,254.5590543,211.6159589,209.1663178,177.9924218,206.2122032
ENSG00000015171,ZMYND11,125.5924218,164.7406497,156.1190856,68.79545076,66.35756549,64.59267983,57.54595908
ENSG00000172466,ZNF24,527.7396683,601.6908105,707.0001654,642.8274356,574.2876175,686.7948836,691.0809417
ENSG00000198039,ZNF273,13.81317584,33.11990975,43.97257866,43.14207338,45.96447313,30.73823848,72.3513941
ENSG00000198039,ZNF273,27.27057014,52.24353631,62.49086247,54.50230276,58.35238045,37.12446777,39.26677663
ENSG00000081665,ZNF506,9.063087201,11.2945282,8.951962932,8.735633609,10.93556273,13.26936738,8.742680519
ENSG00000177853,ZNF518A,46.12616124,44.86867352,48.81237108,34.35718612,37.46631013,35.8754435,42.13986391
