"","ensembl_gene_id","hgnc_symbol","P_LC.04.06.CEL","P_LC.299.99.CEL","P_LC.96.06.CEL"
"157","ENSG00000182158","CREB3L2",14.00953295,8.68216009,14.95966764
"158","ENSG00000182492","BGN",6.151339023,6.439960071,12.64439994
"159","ENSG00000182899","RPL35A",27.52283763,34.67703423,37.23996817
"160","ENSG00000183207","RUVBL2",42.51375357,69.19213274,42.51375357
"161","ENSG00000183978","COA3",18.40906406,40.5329883,26.03546939
"162","ENSG00000184226","PCDH9",81.78129931,100.0665054,91.49308221
"163","ENSG00000184304","PRKD1",2.449978463,7.572718734,4.913197326
"164","ENSG00000184575","XPOT",128.7153044,231.3524765,119.1897363
"165","ENSG00000185651","UBE2L3",1.230381045,9.303814637,2.608608067
"166","ENSG00000187498","COL4A1",2.516642579,6.619369382,7.944253864
"167","ENSG00000196531","NACA",23.96122871,65.52822115,51.23156773
"168","ENSG00000196628","TCF4",14.49026986,18.53799244,15.68878149
"169","ENSG00000196821","C6orf106",14.13693398,15.91091397,14.99233916
"170","ENSG00000197021","CXorf40B",6.408309514,16.88987014,8.50302052
"171","ENSG00000197021","CXorf40B",28.80633069,33.64277703,25.42810451
"172","ENSG00000197021","CXorf40B",5.884520284,13.82092467,9.242567698
"173","ENSG00000197746","PSAP",4.271137378,9.07243308,6.683600921
"174","ENSG00000197771","MCMBP",7.421598997,4.468925152,9.491042061
"175","ENSG00000197958","RPL12",69.10220933,65.02609227,66.38197122
"176","ENSG00000198039","ZNF273",4.724929598,6.187878777,5.646790512
"177","ENSG00000198039","ZNF273",5.942142713,17.4329087,4.562516682
"178","ENSG00000198947","DMD",11.58374317,7.577021359,37.23523132
"179","ENSG00000214413","BBIP1",4.724929598,4.678165093,4.389254731
"180","ENSG00000214413","BBIP1",15.57391273,29.22788308,13.76874651
"181","ENSG00000239789","MRPS17",4.806008669,9.614462563,3.746161411
"182","ENSG00000241973","PI4KA",7.074142061,11.43406611,5.616347131
"183","ENSG00000244734","HBB",17.99198941,9.527299744,5.046881294
"184","ENSG00000253352","TUG1",4.259344657,5.407397383,2.380770208
"185","ENSG00000255529","POLR2M",11.98551127,7.705641219,11.46170686
