ensembl_gene_id,hgnc_symbol,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL
ENSG00000244734,HBB,1363.236842,932.6130137,8821.94805,5953.258435,4947.972588,3570.343447,5108.292003,7465.863754
ENSG00000111727,HCFC2,67.38682231,59.83203125,80.3949357,48.43643121,57.13837058,60.32069039,49.18963744,55.60411903
ENSG00000103415,HMOX2,275.6499931,507.3352345,182.5054021,603.8608025,232.926508,547.0729223,394.9395564,656.6916595
ENSG00000096746,HNRNPH3,366.6391327,283.2333263,199.7517119,185.3135661,192.0814874,285.7805188,172.7483183,165.8656559
ENSG00000105323,HNRNPUL1,266.0892527,309.3196245,433.2841918,268.5896378,374.6171287,187.7019984,336.8445805,283.6198552
ENSG00000096384,HSP90AB1,4047.118896,4553.198574,2408.532613,4854.206985,2661.257202,3968.377703,3768.2384,5351.46105
ENSG00000115738,ID2,82.64154489,124.0689084,47.37433304,42.32707344,40.02066359,128.8305638,75.50349589,69.4593538
ENSG00000115738,ID2,1323.296888,2259.587493,1296.780771,1339.033997,1683.888294,2116.621787,1559.168144,1545.991654
ENSG00000115594,IL1R1,99.87988715,410.7223687,101.0511441,51.31275816,203.5453369,144.8040691,64.1271002,23.55765474
ENSG00000091409,ITGA6,190.0904705,122.8830198,177.1969657,46.89872182,84.6790059,88.63639623,138.6216484,98.93260546
ENSG00000101384,JAG1,22.56973113,39.47013738,23.53317737,29.00448496,29.9878013,36.79905219,27.87249109,23.79541505
ENSG00000136504,KAT7,397.0932371,461.6744288,225.8583556,575.7749928,446.0946034,490.2619192,475.0617585,575.5076101
ENSG00000178695,KCTD12,478.25989,390.519619,367.8457713,248.845477,228.0379745,386.0988626,392.1033193,270.1271897
ENSG00000147050,KDM6A,21.33164058,17.89511836,27.44705543,14.95440012,17.44003739,23.85495371,23.01323076,28.48429277
ENSG00000126214,KLC1,1395.784021,1771.721831,398.1502865,2503.774993,1001.875262,1793.420826,1437.608634,2204.795826
ENSG00000025800,KPNA6,624.3304339,739.3771433,477.2809677,847.2346032,662.7528937,739.4002082,780.7732148,723.844231
ENSG00000102897,LYRM1,419.9828336,551.5292102,254.0363781,476.7562525,418.2749928,347.1129282,379.9927452,473.9504873
ENSG00000112893,MAN2A1,350.1618884,326.6269031,113.4648511,102.6046884,134.0132168,268.232652,190.31845,165.2182026
ENSG00000139793,MBNL2,1301.16061,947.6902839,708.488382,863.7893153,847.3353191,851.4430444,992.6291595,634.9622821
ENSG00000197771,MCMBP,53.90823424,53.55237906,39.27001723,32.19990453,47.79616287,48.02117993,41.89118208,44.78439339
ENSG00000106484,MEST,511.1541493,548.5380218,255.2975349,392.5953543,378.3276008,452.0028518,416.6291595,662.9822002
ENSG00000071073,MGAT4A,19.17606823,21.1606636,12.78943923,15.68351613,12.06301851,17.69665969,13.61850586,19.08830315
ENSG00000119684,MLH3,101.4289612,68.44729776,79.21554722,82.27604932,54.82273568,54.27005072,89.78184488,79.31557394
ENSG00000061987,MON2,310.9565549,173.6856427,257.0046084,160.2938332,214.4288745,218.9788837,208.0073412,164.2194166
ENSG00000051825,MPHOSPH9,81.10208396,39.16509304,30.97977803,40.24626775,36.49320659,42.70101274,46.00122961,53.14013555
ENSG00000166902,MRPL16,527.7672184,380.084843,359.1014281,584.3863324,538.057988,388.3592462,562.6592059,607.2224825
ENSG00000239789,MRPS17,220.636986,205.6347104,128.9979705,235.355628,148.1143549,256.5652383,193.8447977,296.9905746
ENSG00000119950,MXI1,2555.2955,2429.771478,3002.316604,1972.891175,2815.721515,1350.436265,2754.647912,1301.846694
ENSG00000172936,MYD88,150.5553927,619.2780836,250.143475,134.4800204,305.5249928,317.9161059,257.541184,161.3877118
ENSG00000196531,NACA,4441.309522,3830.110487,2961.858326,2918.509251,2581.788189,3199.524993,3582.939107,2545.770872
ENSG00000151366,NDUFC2,950.3304776,1028.693243,632.7622514,1392.172228,792.7749928,1086.882938,1081.284007,1419.665947
ENSG00000168653,NDUFS5,2898.816659,3084.054356,2259.566272,2862.193227,2414.087632,2147.542789,2603.487535,2304.295826
ENSG00000010322,NISCH,1748.358326,1798.310338,1308.719952,2520.206262,1675.407531,1644.337493,1974.999015,1758.647574
ENSG00000114857,NKTR,1333.053081,656.8922221,1101.41158,433.8029269,853.0646439,561.942737,564.0017014,347.5913364
