ensembl_gene_id,hgnc_symbol,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL
ENSG00000187498,COL4A1,2.363980138,1.683330265,3.0445211
ENSG00000181789,COPG1,13.72557819,20.62953603,14.77385857
ENSG00000182158,CREB3L2,2.121058317,1.854368183,1.906926488
ENSG00000143162,CREG1,7.046433281,5.250836165,11.94180517
ENSG00000159176,CSRP1,23.25528398,19.22294634,18.44389521
ENSG00000101439,CST3,8.958771886,3.847554094,7.765875665
ENSG00000175215,CTDSP2,9.814208038,4.69322024,8.642909733
ENSG00000168036,CTNNB1,5.096510551,5.385903968,7.212707328
ENSG00000197021,CXorf40B,1.486550075,1.257449585,2.209994124
ENSG00000138061,CYP1B1,1.529699041,1.58709122,2.1879977
ENSG00000011465,DCN,3.265900624,1.977220985,3.237891324
ENSG00000108654,DDX5,12.86870892,15.61534133,24.7610162
ENSG00000119689,DLST,3.007638661,6.679176888,4.946995957
ENSG00000198947,DMD,2.653646436,5.704586358,5.393297349
ENSG00000151914,DST,1.533930838,1.1890192,0.905931716
ENSG00000125977,EIF2S2,8.134212495,6.504442665,14.9963008
ENSG00000087502,ERGIC2,3.472056457,7.71839765,8.215407965
ENSG00000100632,ERH,70.18165834,98.03016485,100.1930497
ENSG00000048828,FAM120A,4.151388163,4.898651598,2.977868197
ENSG00000135842,FAM129A,1.073369346,1.383763693,1.331731059
ENSG00000152102,FAM168B,24.78572497,32.67507722,38.20674989
ENSG00000166147,FBN1,1.491144977,1.505142558,1.698854421
ENSG00000109670,FBXW7,3.150007686,4.992390037,3.150007686
ENSG00000146729,GBAS,1.575474843,1.528721908,2.071574831
ENSG00000105373,GLTSCR2,69.88063203,67.31916755,89.04799461
ENSG00000144366,GULP1,1.590453586,1.73582603,2.176339955
ENSG00000244734,HBB,9.493726894,1.72470486,3.281763071
ENSG00000111727,HCFC2,1.477463302,1.331731059,1.063657342
ENSG00000103415,HMOX2,3.847515645,4.173045662,6.221910281
ENSG00000096746,HNRNPH3,5.848190854,6.848430624,10.85333417
ENSG00000105323,HNRNPUL1,8.360684111,4.57301777,3.861261143
ENSG00000096384,HSP90AB1,21.44804184,57.11382595,64.39380121
ENSG00000115738,ID2,3.114808956,1.200373377,1.170482918
ENSG00000115594,IL1R1,1.309798401,1.517864115,2.631566625
ENSG00000091409,ITGA6,1.331731059,1.815247869,1.375267995
ENSG00000101384,JAG1,4.237419291,3.066576212,4.908886209
ENSG00000136504,KAT7,7.734037451,9.546836136,10.41190243
ENSG00000178695,KCTD12,1.398997885,1.200373377,2.488820367
ENSG00000147050,KDM6A,1.533930838,2.710573006,1.523177708
ENSG00000126214,KLC1,10.96251812,20.18517145,17.55538332
ENSG00000025800,KPNA6,9.569493253,16.18655367,11.63319234
ENSG00000102897,LYRM1,13.37854444,17.34047164,25.70673813
ENSG00000112893,MAN2A1,2.502274433,1.561532476,3.506822488
ENSG00000139793,MBNL2,112.6220294,118.0918034,154.4907507
ENSG00000197771,MCMBP,1.903501358,1.682697348,2.299768223
ENSG00000106484,MEST,6.614378017,6.568040719,14.62797193
ENSG00000071073,MGAT4A,11.1442422,10.27861521,9.087013438
ENSG00000119684,MLH3,3.422909394,2.757336444,4.363724766
ENSG00000061987,MON2,1.90482902,1.379494714,1.735744826
ENSG00000051825,MPHOSPH9,1.339632182,2.135466923,1.70121647
ENSG00000166902,MRPL16,1.411609238,1.90040969,1.59992048
ENSG00000239789,MRPS17,1.30410478,2.486207626,2.99196407
ENSG00000119950,MXI1,16.85475823,22.54597143,19.13048482
ENSG00000172936,MYD88,4.3764703,1.718408811,3.640693712
ENSG00000196531,NACA,11.81737953,12.94737235,23.43176666
ENSG00000151366,NDUFC2,24.50757939,41.23958642,77.82226206
ENSG00000168653,NDUFS5,188.9409304,354.7141459,368.424686
ENSG00000010322,NISCH,24.04901783,18.27918474,30.66654928
ENSG00000114857,NKTR,6.880294742,5.468159886,6.167875114
ENSG00000141279,NPEPPS,5.885171574,8.69619763,10.03435869
ENSG00000106236,NPTX2,5.260094512,3.670138818,7.085160747
ENSG00000088833,NSFL1C,7.200188576,7.384058786,8.192101405
ENSG00000102898,NUTF2,28.93933022,40.40009192,45.11458064
ENSG00000160991,ORAI2,44.93077423,31.56892631,11.57270952
ENSG00000167770,OTUB1,9.663984973,11.77940938,15.87580152
ENSG00000070756,PABPC1,49.4847103,52.56281096,49.94924717
ENSG00000184226,PCDH9,27.40526246,28.3938757,22.50006042
ENSG00000115539,PDCL3,2.520225274,3.624462531,2.77169645
ENSG00000113068,PFDN1,15.42258714,20.32174231,20.91800199
ENSG00000123349,PFDN5,6.465543431,5.827802955,8.360684111
ENSG00000241973,PI4KA,2.779215564,3.999219629,4.944230706
ENSG00000131788,PIAS3,4.622175678,7.098026013,6.952500681
ENSG00000180957,PITPNB,33.0325596,32.30289736,44.21198303
ENSG00000021300,PLEKHB1,3.667131719,1.533663728,1.70121647
ENSG00000152952,PLOD2,1.764347879,1.147030337,2.330331748
ENSG00000143442,POGZ,1.509475106,1.430398389,1.375638103
ENSG00000255529,POLR2M,2.901771343,3.626292062,4.48547371
ENSG00000131626,PPFIA1,13.37854444,15.68569919,13.38211601
ENSG00000115685,PPP1R7,6.290494687,5.910135993,11.8886054
ENSG00000113575,PPP2CA,46.90699255,88.58520079,83.41295192
ENSG00000104695,PPP2CB,40.26547454,49.60905813,63.70270604
ENSG00000184304,PRKD1,3.3931919,3.429769823,6.306321075
ENSG00000117360,PRPF3,1.503486239,1.384163005,2.497960149
ENSG00000197746,PSAP,108.4847103,158.346133,134.6115679
ENSG00000159352,PSMD4,57.39751188,93.21198303,95.16553773
ENSG00000163636,PSMD6,11.26563982,25.32598718,33.13861908
ENSG00000163629,PTPN13,1.90482902,1.197058491,1.398758202
ENSG00000141542,RAB40B,5.730602173,5.730602173,7.40779941
ENSG00000138698,RAP1GDS1,79.93925575,146.1209875,191.3028921
ENSG00000162775,RBM15,2.090427331,2.727180947,1.523177708
ENSG00000113269,RNF130,3.98498215,7.914404632,6.379827345
ENSG00000114125,RNF7,8.425139029,17.34047164,22.39825023
ENSG00000169855,ROBO1,24.2138421,26.91245459,46.66652848
ENSG00000197958,RPL12,32.63227263,24.21999706,34.91541507
ENSG00000174748,RPL15,39.26655644,40.37085261,53.13764083
ENSG00000182899,RPL35A,28.40160959,33.7060693,38.23752504
ENSG00000165502,RPL36AL,7.032864847,10.19830887,19.79524904
ENSG00000145592,RPL37,1.954177091,2.530063782,4.239530031
ENSG00000177600,RPLP2,33.21198422,34.14384146,40.77637277
ENSG00000168028,RPSA,115.9392558,133.7574376,169.4321341
ENSG00000136444,RSAD1,4.982158537,6.233408309,5.592637514
ENSG00000183207,RUVBL2,91.7002663,129.5350136,150.6196476
ENSG00000105711,SCN1B,121.4194495,134.9392558,91.78742152
ENSG00000138758,Sep-11,6.837658385,5.983266861,7.78065774
ENSG00000142864,SERBP1,1.396036415,1.200373377,1.476236765
ENSG00000140264,SERF2,53.31054602,59.66119387,64.56485866
ENSG00000099995,SF3A1,6.139835287,4.738338469,5.808112968
ENSG00000115524,SF3B1,11.21360611,9.672302852,12.8905414
ENSG00000039123,SKIV2L2,4.273850333,4.03308813,4.689198842
ENSG00000117394,SLC2A1,15.69037679,13.20867633,15.80620548
ENSG00000174446,SNAPC5,2.716662563,5.402099087,3.571846689
ENSG00000139343,SNRPF,1.52544747,1.722410612,1.722410612
ENSG00000159140,SON,4.328926264,5.084186254,6.638664169
ENSG00000113140,SPARC,38.44866958,6.852490225,20.84303397
ENSG00000153037,SRP19,37.35404776,49.93112759,53.75743757
ENSG00000116754,SRSF11,8.360684111,6.764680785,6.510958323
ENSG00000157216,SSBP3,4.003122895,9.01883803,2.938507141
ENSG00000168610,STAT3,27.6926971,42.26149968,29.93927656
ENSG00000117632,STMN1,5.216679191,4.380411381,5.275147617
ENSG00000164828,SUN1,2.295536207,2.75370072,4.317131609
ENSG00000132718,SYT11,36.40025102,71.38883479,64.93925575
ENSG00000055208,TAB2,3.716240253,4.689784926,4.957751246
ENSG00000120948,TARDBP,11.82828166,12.20915475,13.1091133
ENSG00000113407,TARS,1.754338895,2.149488684,3.265426059
ENSG00000105254,TBCB,87.30289212,124.4238509,116.1638174
ENSG00000196628,TCF4,20.11048716,12.67943696,11.64744335
ENSG00000166848,TERF2IP,110.6879107,178.211983,127.6383248
ENSG00000169908,TM4SF1,2.382496697,0.983035882,3.359449082
ENSG00000070269,TMEM260,1.533930838,1.349696006,1.523177708
ENSG00000170876,TMEM43,15.11917477,11.94136212,14.17455285
ENSG00000139921,TMX1,1.907830828,2.394821411,2.716662563
ENSG00000156298,TSPAN7,68.92696119,105.9940644,105.9940644
ENSG00000253352,TUG1,1.736457141,1.907792577,1.887446288
ENSG00000185651,UBE2L3,2.431334832,4.633190359,8.790914743
ENSG00000132549,VPS13B,4.19042196,5.829735587,5.054736703
ENSG00000184575,XPOT,49.97983845,60.07650282,56.12107394
ENSG00000119596,YLPM1,3.360512853,4.758695508,3.762572659
ENSG00000136758,YME1L1,2.44393441,3.275733786,4.985499942
ENSG00000128016,ZFP36,13.86343622,12.31539385,9.199829137
ENSG00000072121,ZFYVE26,4.359427598,3.212372182,4.064734335
ENSG00000015171,ZMYND11,7.76239239,8.603320586,8.273959426
ENSG00000172466,ZNF24,9.495759656,11.13784417,8.486091963
ENSG00000198039,ZNF273,1.94987038,1.979830928,1.979830928
ENSG00000081665,ZNF506,1.411144428,1.157080983,1.436485839
ENSG00000177853,ZNF518A,1.210188972,1.210188972,1.331731059
