ensembl_gene_id,hgnc_symbol,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL
ENSG00000143442,POGZ,2.531259113,2.147859346,1.919452279,2.104931762,2.286145193,4.138949888
ENSG00000255529,POLR2M,10.80416516,11.60658894,11.46170686,13.57921405,12.14657875,8.749664415
ENSG00000131626,PPFIA1,30.50687893,39.64569283,24.84266455,26.08613283,48.02111535,31.75693678
ENSG00000115685,PPP1R7,15.42310925,33.22867212,21.93614815,34.44769327,13.60704533,10.42970412
ENSG00000113575,PPP2CA,36.30878968,136.4930822,107.0891367,151.6041933,64.27086079,22.78811046
ENSG00000104695,PPP2CB,231.5015537,323.1597489,171.9327511,169.0683693,233.1597489,87.41414085
ENSG00000184304,PRKD1,8.135563745,7.64257851,6.971473713,7.64257851,8.460888612,11.09289036
ENSG00000117360,PRPF3,7.750683686,5.390519832,5.390519832,11.45771081,3.489108739,5.097263328
ENSG00000197746,PSAP,11.13450428,35.36685662,9.07243308,28.41088294,6.719303177,8.547441917
ENSG00000159352,PSMD4,54.49318206,116.9336999,89.75734511,109.0082848,53.63251066,17.96461962
ENSG00000163636,PSMD6,34.95263099,110.727712,63.37004541,111.0623681,34.00544248,10.79827089
ENSG00000163629,PTPN13,16.55636756,2.738457104,3.267984495,2.639197757,6.118171509,9.077327272
ENSG00000141542,RAB40B,14.94834413,30.34378904,10.07777567,16.51295082,11.05028263,14.39296738
ENSG00000138698,RAP1GDS1,65.15516215,263.8827624,261.1618477,349.1846127,76.31552122,21.40666313
ENSG00000162775,RBM15,4.358053232,5.306299895,7.468504958,6.410942653,3.332184892,3.667148148
ENSG00000113269,RNF130,8.292309958,11.98551127,11.38935893,11.54846561,11.65220629,11.05233955
ENSG00000113269,RNF130,18.52017517,43.62433112,30.11477511,39.74273262,18.52017517,13.57109649
ENSG00000114125,RNF7,17.16297873,57.60421628,31.64495132,33.61929766,26.67244372,10.95374852
ENSG00000169855,ROBO1,119.2284355,95.4695301,83.87855212,114.1320343,68.7426307,33.5572185
ENSG00000197958,RPL12,151.9063922,94.55751499,94.55751499,67.25765218,119.905778,162.9273957
ENSG00000174748,RPL15,238.577992,148.6937172,112.6452463,113.561841,148.4930822,161.6550481
ENSG00000182899,RPL35A,68.71530445,46.64426879,61.38197569,66.05822962,35.89639198,29.05270864
ENSG00000165502,RPL36AL,70.85522078,79.46781896,67.38197122,61.41961967,24.58672775,65.97201427
ENSG00000145592,RPL37,442.5145561,337.4180839,378.2113631,256.5636734,287.27086,373.796505
ENSG00000145592,RPL37,16.49776271,18.46953918,7.441972749,10.00056042,24.07071265,28.00577705
ENSG00000177600,RPLP2,71.68576511,61.27086458,38.51159764,36.0549035,36.0549035,69.08331441
ENSG00000168028,RPSA,242.5749443,254.7195719,196.5316205,183.27086,309.8511624,322.8827604
ENSG00000136444,RSAD1,7.947922566,12.64731938,13.32184997,12.8831967,14.2996852,13.96030555
ENSG00000183207,RUVBL2,57.9329356,127.8434916,75.34015449,96.92426478,53.57813354,24.63554725
ENSG00000105711,SCN1B,15.05441663,32.35635442,36.0549035,32.35635442,36.0549035,15.84371373
