"","hgnc_symbol","ensembl_gene_id","C_MW2.CEL","C_MW3B.CEL","C_MW7.CEL"
"38","CTDSP2","ENSG00000175215",9.814208038,4.69322024,8.642909733
"39","CTNNB1","ENSG00000168036",5.096510551,5.385903968,7.212707328
"40","CXorf40B","ENSG00000197021",1.486550075,1.257449585,2.209994124
"41","CYP1B1","ENSG00000138061",1.529699041,1.58709122,2.1879977
"42","DCN","ENSG00000011465",3.265900624,1.977220985,3.237891324
"43","DDX5","ENSG00000108654",12.86870892,15.61534133,24.7610162
"44","DDX5","ENSG00000108654",4.836333447,4.347966794,3.717326739
"45","DLST","ENSG00000119689",3.007638661,6.679176888,4.946995957
"46","DMD","ENSG00000198947",2.653646436,5.704586358,5.393297349
"47","DST","ENSG00000151914",1.533930838,1.1890192,0.905931716
"48","EIF2S2","ENSG00000125977",8.134212495,6.504442665,14.9963008
"49","ERGIC2","ENSG00000087502",3.472056457,7.71839765,8.215407965
"50","ERH","ENSG00000100632",70.18165834,98.03016485,100.1930497
"51","FAM120A","ENSG00000048828",4.151388163,4.898651598,2.977868197
"52","FAM129A","ENSG00000135842",1.073369346,1.383763693,1.331731059
"53","FAM168B","ENSG00000152102",24.78572497,32.67507722,38.20674989
"54","FBN1","ENSG00000166147",1.491144977,1.505142558,1.698854421
"55","FBXW7","ENSG00000109670",3.150007686,4.992390037,3.150007686
"56","GBAS","ENSG00000146729",1.575474843,1.528721908,2.071574831
"57","GLTSCR2","ENSG00000105373",69.88063203,67.31916755,89.04799461
"58","GPR116","ENSG00000069122",2.441365295,1.794341248,1.862079732
"59","GULP1","ENSG00000144366",1.590453586,1.73582603,2.176339955
"60","HBB","ENSG00000244734",9.493726894,1.72470486,3.281763071
"61","HCFC2","ENSG00000111727",1.477463302,1.331731059,1.063657342
"62","HMOX2","ENSG00000103415",3.847515645,4.173045662,6.221910281
"63","HNRNPH3","ENSG00000096746",5.848190854,6.848430624,10.85333417
"64","HNRNPUL1","ENSG00000105323",8.360684111,4.57301777,3.861261143
"65","HSP90AB1","ENSG00000096384",21.44804184,57.11382595,64.39380121
"66","ID2","ENSG00000115738",12.93625341,9.190625851,12.93625341
"67","ID2","ENSG00000115738",3.114808956,1.200373377,1.170482918
"68","IL1R1","ENSG00000115594",1.309798401,1.517864115,2.631566625
"69","ITGA6","ENSG00000091409",1.331731059,1.815247869,1.375267995
"70","JAG1","ENSG00000101384",4.237419291,3.066576212,4.908886209
"71","KAT7","ENSG00000136504",7.734037451,9.546836136,10.41190243
"72","KCTD12","ENSG00000178695",1.398997885,1.200373377,2.488820367
"73","KDM6A","ENSG00000147050",1.533930838,2.710573006,1.523177708
"74","KLC1","ENSG00000126214",10.96251812,20.18517145,17.55538332
"75","KPNA6","ENSG00000025800",9.569493253,16.18655367,11.63319234
"76","LYRM1","ENSG00000102897",13.37854444,17.34047164,25.70673813
"77","MAN2A1","ENSG00000112893",2.502274433,1.561532476,3.506822488
"78","MBNL2","ENSG00000139793",112.6220294,118.0918034,154.4907507
"79","MBNL2","ENSG00000139793",1.924242112,2.463065445,1.523177708
"80","MCMBP","ENSG00000197771",1.903501358,1.682697348,2.299768223
"81","MEST","ENSG00000106484",6.614378017,6.568040719,14.62797193
"82","MGAT4A","ENSG00000071073",11.1442422,10.27861521,9.087013438
"83","MLH3","ENSG00000119684",3.422909394,2.757336444,4.363724766
"84","MON2","ENSG00000061987",1.90482902,1.379494714,1.735744826
"85","MPHOSPH9","ENSG00000051825",1.339632182,2.135466923,1.70121647
"86","MRPL16","ENSG00000166902",1.411609238,1.90040969,1.59992048
"87","MRPS17","ENSG00000239789",1.30410478,2.486207626,2.99196407
"88","MXI1","ENSG00000119950",16.85475823,22.54597143,19.13048482
"89","MYD88","ENSG00000172936",4.3764703,1.718408811,3.640693712
"90","NACA","ENSG00000196531",11.81737953,12.94737235,23.43176666
"91","NDUFC2","ENSG00000151366",24.50757939,41.23958642,77.82226206
"92","NDUFS5","ENSG00000168653",188.9409304,354.7141459,368.424686
"93","NISCH","ENSG00000010322",24.04901783,18.27918474,30.66654928
"94","NKTR","ENSG00000114857",6.880294742,5.468159886,6.167875114
"95","NPEPPS","ENSG00000141279",5.885171574,8.69619763,10.03435869
"96","NPTX2","ENSG00000106236",5.260094512,3.670138818,7.085160747
"97","NSFL1C","ENSG00000088833",7.200188576,7.384058786,8.192101405
"98","NUTF2","ENSG00000102898",28.93933022,40.40009192,45.11458064
"99","ORAI2","ENSG00000160991",44.93077423,31.56892631,11.57270952
"100","OTUB1","ENSG00000167770",9.663984973,11.77940938,15.87580152
"101","PABPC1","ENSG00000070756",49.4847103,52.56281096,49.94924717
"102","PABPC1","ENSG00000070756",25.20590977,27.79567433,20.58713084
"103","PCDH9","ENSG00000184226",27.40526246,28.3938757,22.50006042
"104","PDCL3","ENSG00000115539",2.520225274,3.624462531,2.77169645
"105","PFDN1","ENSG00000113068",15.42258714,20.32174231,20.91800199
"106","PFDN5","ENSG00000123349",6.465543431,5.827802955,8.360684111
"107","PI4KA","ENSG00000241973",2.779215564,3.999219629,4.944230706
"108","PI4KA","ENSG00000241973",31.84835191,43.22223785,48.239632
"109","PIAS3","ENSG00000131788",4.622175678,7.098026013,6.952500681
"110","PITPNB","ENSG00000180957",33.0325596,32.30289736,44.21198303
"111","PLEKHB1","ENSG00000021300",3.667131719,1.533663728,1.70121647
"112","PLOD2","ENSG00000152952",1.764347879,1.147030337,2.330331748
"113","POGZ","ENSG00000143442",1.509475106,1.430398389,1.375638103
"114","PPFIA1","ENSG00000131626",13.37854444,15.68569919,13.38211601
"115","PPP1R7","ENSG00000115685",6.290494687,5.910135993,11.8886054
"116","PPP2CA","ENSG00000113575",46.90699255,88.58520079,83.41295192
"117","PPP2CB","ENSG00000104695",40.26547454,49.60905813,63.70270604
"118","PRKD1","ENSG00000184304",3.3931919,3.429769823,6.306321075
"119","PRPF3","ENSG00000117360",1.503486239,1.384163005,2.497960149
"120","PSAP","ENSG00000197746",108.4847103,158.346133,134.6115679
"121","PSMD4","ENSG00000159352",57.39751188,93.21198303,95.16553773
"122","PSMD6","ENSG00000163636",11.26563982,25.32598718,33.13861908
"123","PTPN13","ENSG00000163629",1.90482902,1.197058491,1.398758202
"124","RAB40B","ENSG00000141542",5.730602173,5.730602173,7.40779941
"125","RAP1GDS1","ENSG00000138698",79.93925575,146.1209875,191.3028921
"126","RBM15","ENSG00000162775",2.090427331,2.727180947,1.523177708
"127","RNF130","ENSG00000113269",3.98498215,7.914404632,6.379827345
"128","RNF7","ENSG00000114125",8.425139029,17.34047164,22.39825023
"129","ROBO1","ENSG00000169855",24.2138421,26.91245459,46.66652848
"130","RPL12","ENSG00000197958",32.63227263,24.21999706,34.91541507
"131","RPL15","ENSG00000174748",39.26655644,40.37085261,53.13764083
"132","RPL35A","ENSG00000182899",28.40160959,33.7060693,38.23752504
"133","RPL36AL","ENSG00000165502",7.032864847,10.19830887,19.79524904
"134","RPL37","ENSG00000145592",1.954177091,2.530063782,4.239530031
"135","RPL37","ENSG00000145592",181.2574376,132.1136521,222.1210739
"136","RPLP2","ENSG00000177600",33.21198422,34.14384146,40.77637277
"137","RPSA","ENSG00000168028",115.9392558,133.7574376,169.4321341
"138","RSAD1","ENSG00000136444",4.982158537,6.233408309,5.592637514
"139","RUVBL2","ENSG00000183207",91.7002663,129.5350136,150.6196476
"140","SCN1B","ENSG00000105711",121.4194495,134.9392558,91.78742152
"141","SERBP1","ENSG00000142864",1.396036415,1.200373377,1.476236765
"142","SF3A1","ENSG00000099995",6.139835287,4.738338469,5.808112968
"143","SF3B1","ENSG00000115524",11.21360611,9.672302852,12.8905414
"144","SKIV2L2","ENSG00000039123",4.273850333,4.03308813,4.689198842
"145","SLC2A1","ENSG00000117394",15.69037679,13.20867633,15.80620548
"146","SNAPC5","ENSG00000174446",2.716662563,5.402099087,3.571846689
"147","SNRPF","ENSG00000139343",1.52544747,1.722410612,1.722410612
"148","SON","ENSG00000159140",4.328926264,5.084186254,6.638664169
"149","SPARC","ENSG00000113140",38.44866958,6.852490225,20.84303397
"150","SRP19","ENSG00000153037",37.35404776,49.93112759,53.75743757
"151","SRSF11","ENSG00000116754",8.360684111,6.764680785,6.510958323
"152","SSBP3","ENSG00000157216",4.003122895,9.01883803,2.938507141
"153","STAT3","ENSG00000168610",27.6926971,42.26149968,29.93927656
"154","STMN1","ENSG00000117632",2.283947674,1.739015644,2.301416386
"155","SUN1","ENSG00000164828",2.295536207,2.75370072,4.317131609
"156","SYT11","ENSG00000132718",36.40025102,71.38883479,64.93925575
"157","TAB2","ENSG00000055208",3.716240253,4.689784926,4.957751246
"158","TARDBP","ENSG00000120948",11.82828166,12.20915475,13.1091133
"159","TARS","ENSG00000113407",1.754338895,2.149488684,3.265426059
"160","TBCB","ENSG00000105254",87.30289212,124.4238509,116.1638174
"161","TCF4","ENSG00000196628",20.11048716,12.67943696,11.64744335
"162","TERF2IP","ENSG00000166848",110.6879107,178.211983,127.6383248
"163","TM4SF1","ENSG00000169908",2.382496697,0.983035882,3.359449082
"164","TMEM260","ENSG00000070269",1.533930838,1.349696006,1.523177708
"165","TMEM43","ENSG00000170876",15.11917477,11.94136212,14.17455285
"166","TMX1","ENSG00000139921",1.907830828,2.394821411,2.716662563
"167","TSPAN7","ENSG00000156298",68.92696119,105.9940644,105.9940644
"168","TUG1","ENSG00000253352",1.736457141,1.907792577,1.887446288
"169","UBE2L3","ENSG00000185651",2.431334832,4.633190359,8.790914743
"170","VPS13B","ENSG00000132549",4.19042196,5.829735587,5.054736703
"171","XPOT","ENSG00000184575",49.97983845,60.07650282,56.12107394
"172","YLPM1","ENSG00000119596",3.360512853,4.758695508,3.762572659
"173","YME1L1","ENSG00000136758",2.44393441,3.275733786,4.985499942
"174","ZFP36","ENSG00000128016",13.86343622,12.31539385,9.199829137
"175","ZFYVE26","ENSG00000072121",4.359427598,3.212372182,4.064734335
"176","ZMYND11","ENSG00000015171",7.76239239,8.603320586,8.273959426
"177","ZNF24","ENSG00000172466",9.495759656,11.13784417,8.486091963
"178","ZNF273","ENSG00000198039",1.973786752,1.683330265,1.612568731
"179","ZNF273","ENSG00000198039",1.94987038,1.979830928,1.979830928
"180","ZNF273","ENSG00000198039",1.683330265,1.355275118,2.661125073
"181","ZNF506","ENSG00000081665",1.411144428,1.157080983,1.436485839
"182","ZNF518A","ENSG00000177853",1.210188972,1.210188972,1.331731059
