hgnc_symbol,ensembl_gene_id,sample_C9_1,sample_C9_2,sample_C9_3,sample_C9_4,sample_C9_5,sample_C9_6,sample_C9_7
DLST,ENSG00000119689,1176,1653,1321,1467,1881,2477,2791
DMD,ENSG00000198947,459,1079,1158,740,742,865,1070
DST,ENSG00000151914,3250,5243,5257,5845,7379,6627,9984
EIF2S2,ENSG00000125977,563,1664,1678,1492,1221,1654,1711
ERGIC2,ENSG00000087502,327,826,754,522,616,783,1174
ERH,ENSG00000100632,1280,1736,1412,1290,1734,2114,2042
FAM120A,ENSG00000048828,746,1402,1530,1046,1329,1783,2071
FAM129A,ENSG00000135842,27,105,70,79,41,52,25
FAM168B,ENSG00000152102,4758,7642,5843,5649,7095,11408,13799
FBN1,ENSG00000166147,131,154,169,136,249,167,363
FBXW7,ENSG00000109670,2713,4033,3738,3679,3505,5302,6290
GBAS,ENSG00000146729,848,1313,1152,1134,1254,2268,1604
GLTSCR2,ENSG00000105373,1982,2305,2827,2582,2586,2296,2504
ADGRF5,ENSG00000069122,251,535,1479,468,627,538,814
GULP1,ENSG00000144366,76,392,311,184,176,443,231
HBB,ENSG00000244734,291,463,438,2860,1588,478,530
HCFC2,ENSG00000111727,100,254,203,169,266,282,426
HMOX2,ENSG00000103415,1743,2330,2058,2390,2696,4060,4161
HNRNPH3,ENSG00000096746,1467,3170,3390,2395,2960,1858,3430
HNRNPUL1,ENSG00000105323,2689,3123,3043,2813,3655,4097,3785
HSP90AB1,ENSG00000096384,19121,59733,70471,41266,34524,47768,52885
ID2,ENSG00000115738,1457,2074,1719,1521,1828,2913,3084
IL1R1,ENSG00000115594,89,246,456,865,286,220,125
ITGA6,ENSG00000091409,345,1194,1529,642,1069,1029,792
JAG1,ENSG00000101384,217,570,832,612,597,342,352
KAT7,ENSG00000136504,690,1621,1115,951,1240,1804,2051
KCTD12,ENSG00000178695,717,1508,2323,1326,1672,1544,1375
KDM6A,ENSG00000147050,148,197,289,227,306,323,499
KLC1,ENSG00000126214,3022,3074,2901,3853,4112,4309,4398
KPNA6,ENSG00000025800,984,2202,1578,1439,1717,2637,3331
LYRM1,ENSG00000102897,445,729,572,556,618,872,923
MAN2A1,ENSG00000112893,353,635,656,651,837,401,745
MBNL2,ENSG00000139793,1877,4127,4281,3322,4561,3889,6576
MCMBP,ENSG00000197771,293,552,609,434,614,795,784
MEST,ENSG00000106484,347,893,702,450,461,424,679
MGAT4A,ENSG00000071073,466,957,1120,689,922,1630,1656
MLH3,ENSG00000119684,209,441,277,303,364,367,598
MON2,ENSG00000061987,368,771,757,625,873,1037,1279
MPHOSPH9,ENSG00000051825,147,178,218,160,188,162,343
MRPL16,ENSG00000166902,562,681,751,594,741,930,1222
MRPS17,ENSG00000239789,291,313,217,281,413,549,474
MXI1,ENSG00000119950,1479,1908,2273,2428,2981,2572,3072
MYD88,ENSG00000172936,44,226,144,165,75,234,95
NACA,ENSG00000196531,4028,6648,6942,6034,4410,5978,7990
NDUFC2,ENSG00000151366,1032,1767,1448,1632,1934,2629,2373
NDUFS5,ENSG00000168653,4511,4638,3757,4537,4479,5791,4813
NISCH,ENSG00000010322,3932,7421,7028,5631,6905,7857,7792
NKTR,ENSG00000114857,359,580,802,608,946,324,622
NPEPPS,ENSG00000141279,592,2212,2929,1740,1394,2240,3812
NPTX2,ENSG00000106236,448,424,397,1157,1093,978,1674
NSFL1C,ENSG00000088833,1958,2896,2279,2339,2602,2873,2974
NUTF2,ENSG00000102898,1528,1938,1553,1610,2197,2869,2585
ORAI2,ENSG00000160991,1159,1245,1232,1191,1166,1742,2036
OTUB1,ENSG00000167770,3220,4802,3534,4501,5193,7353,6067
PABPC1,ENSG00000070756,1286,3099,4521,2721,2386,2946,4258
PCDH9,ENSG00000184226,1567,3331,2871,2140,3426,3868,4721
PDCL3,ENSG00000115539,256,409,252,283,265,422,562
PFDN1,ENSG00000113068,1310,1656,1352,1474,1905,2732,2761
PFDN5,ENSG00000123349,4121,5600,5257,4447,4729,4411,5366
PI4KA,ENSG00000241973,4031,10463,6589,7122,7867,14485,12850
PIAS3,ENSG00000131788,201,381,269,262,345,598,438
PITPNB,ENSG00000180957,107,516,403,338,287,613,850
PLEKHB1,ENSG00000021300,16700,15884,15532,15187,23885,12281,14319
PLOD2,ENSG00000152952,213,678,523,461,415,650,430
POGZ,ENSG00000143442,1095,1518,1552,1125,1546,1407,2194
POLR2M,ENSG00000255529,533,1122,865,841,1000,1201,1246
PPFIA1,ENSG00000131626,486,794,851,778,839,1121,1240
PPP1R7,ENSG00000115685,1856,2923,2622,2630,2655,3658,3488
PPP2CA,ENSG00000113575,3922,6248,4978,5340,6309,9727,9989
PPP2CB,ENSG00000104695,3746,5877,5535,4775,5646,7306,7787
PRKD1,ENSG00000184304,75,212,464,180,164,185,176
PRPF3,ENSG00000117360,344,569,685,606,609,390,638
PSAP,ENSG00000197746,14686,41549,40712,31054,38088,52047,45836
PSMD4,ENSG00000159352,2583,3794,2784,3287,3419,4362,4587
PSMD6,ENSG00000163636,604,946,900,825,935,1547,1536
PTPN13,ENSG00000163629,315,548,703,608,741,779,795
RAB40B,ENSG00000141542,1382,1966,1298,1928,2126,3289,2198
RAP1GDS1,ENSG00000138698,1234,3656,3398,2882,2923,5245,6185
RBM15,ENSG00000162775,175,227,215,198,250,222,251
RNF130,ENSG00000113269,2388,3869,3699,2976,3975,4463,5704
RNF7,ENSG00000114125,589,989,1028,885,877,1034,1039
ROBO1,ENSG00000169855,327,730,609,510,608,830,1006
RPL12,ENSG00000197958,2533,4188,3998,2978,3789,3736,3587
RPL15,ENSG00000174748,9962,19899,17460,14167,16786,22501,23568
RPL35A,ENSG00000182899,2866,4204,4378,3466,3534,3974,4298
RPL36AL,ENSG00000165502,1355,2266,2204,1979,1393,2030,2061
RPL37,ENSG00000145592,5328,7939,8215,6665,7517,6356,8133
RPLP2,ENSG00000177600,4011,5254,4941,4906,4961,4619,4738
RPSA,ENSG00000168028,8642,11857,10812,9906,14750,10133,14605
RSAD1,ENSG00000136444,612,720,992,897,814,1304,1476
RUVBL2,ENSG00000183207,1263,1874,1633,1738,2009,2461,2260
SCN1B,ENSG00000105711,6442,4784,6011,9793,12722,9217,19357
SEPT11,ENSG00000138758,1621,3165,2643,2037,2585,4352,3649
SERBP1,ENSG00000142864,1521,3343,2785,2522,2675,3604,4047
SERF2,ENSG00000140264,4054,4264,3943,3754,5049,3763,3954
SF3A1,ENSG00000099995,1057,2150,2228,1644,2071,2483,3047
SF3B1,ENSG00000115524,1383,2644,3143,2424,2962,3176,3905
SKIV2L2,ENSG00000039123,325,832,771,552,595,1134,1337
SLC2A1,ENSG00000117394,1286,1814,3427,2059,4057,3876,3054
SNAPC5,ENSG00000174446,431,623,456,515,579,1082,920
SNRPF,ENSG00000139343,379,441,335,423,530,578,515
SON,ENSG00000159140,1385,2941,2896,2361,3414,4175,4580
SPARC,ENSG00000113140,1958,3986,7416,5350,5056,6064,4044
SRP19,ENSG00000153037,288,313,241,273,378,630,554
SRSF11,ENSG00000116754,715,1894,2472,2008,2062,1313,2374
SSBP3,ENSG00000157216,4574,5343,4422,5699,5592,6343,8205
STAT3,ENSG00000168610,1069,2142,1694,2052,2558,3325,2256
STMN1,ENSG00000117632,12083,24630,12778,16934,16698,29994,24050
SUN1,ENSG00000164828,730,1208,1165,1135,1493,1489,2258
SYT11,ENSG00000132718,3807,14912,10812,11218,17880,27512,22661
TAB2,ENSG00000055208,614,2040,2894,1517,959,1631,1581
TARDBP,ENSG00000120948,1346,3208,3890,2954,2567,2821,4328
TARS,ENSG00000113407,239,1045,1252,790,510,1155,1129
TBCB,ENSG00000105254,3465,4111,3051,3546,4964,5416,3759
TCF4,ENSG00000196628,1853,4229,2781,2311,3169,3958,4749
TERF2IP,ENSG00000166848,4067,8525,7050,6610,6915,10642,10555
TM4SF1,ENSG00000169908,501,1067,630,830,1101,740,369
TMEM260,ENSG00000070269,105,164,139,159,180,165,204
TMEM43,ENSG00000170876,401,780,533,608,761,800,995
TMX1,ENSG00000139921,131,300,387,232,313,300,344
TSPAN7,ENSG00000156298,11962,18432,16230,15437,20196,23782,21840
TUG1,ENSG00000253352,1043,1238,1112,935,1200,1255,1784
UBE2L3,ENSG00000185651,3258,3930,3291,3458,4312,3965,5425
VPS13B,ENSG00000132549,323,513,481,495,659,793,952
XPOT,ENSG00000184575,975,2379,2374,1816,1748,2692,3031
YLPM1,ENSG00000119596,1039,2100,1703,1359,1481,1841,2465
YME1L1,ENSG00000136758,656,1612,1604,1308,1351,1957,2423
ZFP36,ENSG00000128016,390,2643,793,1633,1473,2313,85
ZFYVE26,ENSG00000072121,238,287,245,258,432,421,520
ZMYND11,ENSG00000015171,1572,2601,2489,2046,2343,3848,4554
ZNF24,ENSG00000172466,1035,1666,2332,1325,1998,1655,2545
ZNF273,ENSG00000198039,164,269,233,247,343,439,520
ZNF506,ENSG00000081665,259,354,361,370,503,499,517
ZNF518A,ENSG00000177853,100,205,157,131,251,190,289
