"","corRvec"
"AP2S1:CEP170B",-0.5
"ARHGAP29:CEP170B",-0.5
"ARIH1:CEP170B",-0.5
"ATM:CEP170B",-1
"ATP2C1:CEP170B",1
"ATP5C1:CEP170B",-0.5
"ATP5E:CEP170B",0.5
"AURKAIP1:CEP170B",1
"BBIP1:CEP170B",1
"BGN:CEP170B",-0.5
"BPTF:CEP170B",-0.5
"BTN3A3:CEP170B",-1
"C14orf1:CEP170B",1
"C1orf61:CEP170B",-0.5
"C6orf106:CEP170B",-1
"CCDC53:CEP170B",1
"CCDC93:CEP170B",0.5
"CCT3:CEP170B",1
"CDC16:CEP170B",1
"CDH11:CEP170B",-0.5
"CELF1:CEP170B",0.5
"ACTN1:CIAPIN1",-0.5
"ADGRF5:CIAPIN1",0.5
"AHCTF1:CIAPIN1",1
"ALDH3A2:CIAPIN1",1
"ALPK1:CIAPIN1",-0.5
"ANKRD17:CIAPIN1",-0.5
"ANXA1:CIAPIN1",-1
"AP2S1:CIAPIN1",0.5
"ARHGAP29:CIAPIN1",0.5
"ARIH1:CIAPIN1",0.5
"ATM:CIAPIN1",-0.5
"ATP2C1:CIAPIN1",0.5
"ATP5C1:CIAPIN1",0.5
"ATP5E:CIAPIN1",1
"AURKAIP1:CIAPIN1",0.5
"BBIP1:CIAPIN1",0.5
"BGN:CIAPIN1",-1
"BPTF:CIAPIN1",0.5
"BTN3A3:CIAPIN1",-0.5
"C14orf1:CIAPIN1",0.5
"C1orf61:CIAPIN1",0.5
"C6orf106:CIAPIN1",-0.5
"CCDC53:CIAPIN1",0.5
"CCDC93:CIAPIN1",-0.5
"CCT3:CIAPIN1",0.5
"CDC16:CIAPIN1",0.5
"CDH11:CIAPIN1",-1
"CELF1:CIAPIN1",1
"CEP170B:CIAPIN1",0.5
"ACTN1:CLCN5",-1
"ADGRF5:CLCN5",1
"AHCTF1:CLCN5",0.5
"ALDH3A2:CLCN5",0.5
"ALPK1:CLCN5",-1
"ANKRD17:CLCN5",0.5
"ANXA1:CLCN5",-0.5
"AP2S1:CLCN5",1
"ARHGAP29:CLCN5",1
"ARIH1:CLCN5",1
"ATM:CLCN5",0.5
"ATP2C1:CLCN5",-0.5
"ATP5C1:CLCN5",1
"ATP5E:CLCN5",0.5
"AURKAIP1:CLCN5",-0.5
"BBIP1:CLCN5",-0.5
"BGN:CLCN5",-0.5
"BPTF:CLCN5",1
"BTN3A3:CLCN5",0.5
"C14orf1:CLCN5",-0.5
"C1orf61:CLCN5",1
"C6orf106:CLCN5",0.5
"CCDC53:CLCN5",-0.5
"CCDC93:CLCN5",-1
"CCT3:CLCN5",-0.5
"CDC16:CLCN5",-0.5
"CDH11:CLCN5",-0.5
"CELF1:CLCN5",0.5
"CEP170B:CLCN5",-0.5
"CIAPIN1:CLCN5",0.5
"ACTN1:CLNS1A",1
"ADGRF5:CLNS1A",-1
"AHCTF1:CLNS1A",-0.5
"ALDH3A2:CLNS1A",-0.5
"ALPK1:CLNS1A",1
"ANKRD17:CLNS1A",-0.5
"ANXA1:CLNS1A",0.5
"AP2S1:CLNS1A",-1
"ARHGAP29:CLNS1A",-1
"ARIH1:CLNS1A",-1
"ATM:CLNS1A",-0.5
"ATP2C1:CLNS1A",0.5
"ATP5C1:CLNS1A",-1
"ATP5E:CLNS1A",-0.5
"AURKAIP1:CLNS1A",0.5
"BBIP1:CLNS1A",0.5
"BGN:CLNS1A",0.5
"BPTF:CLNS1A",-1
"BTN3A3:CLNS1A",-0.5
"C14orf1:CLNS1A",0.5
"C1orf61:CLNS1A",-1
"C6orf106:CLNS1A",-0.5
"CCDC53:CLNS1A",0.5
"CCDC93:CLNS1A",1
"CCT3:CLNS1A",0.5
"CDC16:CLNS1A",0.5
"CDH11:CLNS1A",0.5
"CELF1:CLNS1A",-0.5
"CEP170B:CLNS1A",0.5
"CIAPIN1:CLNS1A",-0.5
"CLCN5:CLNS1A",-1
"ACTN1:COA3",-0.5
"ADGRF5:COA3",0.5
"AHCTF1:COA3",1
"ALDH3A2:COA3",1
"ALPK1:COA3",-0.5
"ANKRD17:COA3",-0.5
"ANXA1:COA3",-1
"AP2S1:COA3",0.5
"ARHGAP29:COA3",0.5
"ARIH1:COA3",0.5
"ATM:COA3",-0.5
"ATP2C1:COA3",0.5
"ATP5C1:COA3",0.5
"ATP5E:COA3",1
"AURKAIP1:COA3",0.5
"BBIP1:COA3",0.5
"BGN:COA3",-1
"BPTF:COA3",0.5
"BTN3A3:COA3",-0.5
"C14orf1:COA3",0.5
"C1orf61:COA3",0.5
"C6orf106:COA3",-0.5
"CCDC53:COA3",0.5
"CCDC93:COA3",-0.5
"CCT3:COA3",0.5
"CDC16:COA3",0.5
"CDH11:COA3",-1
"CELF1:COA3",1
"CEP170B:COA3",0.5
"CIAPIN1:COA3",1
"CLCN5:COA3",0.5
"CLNS1A:COA3",-0.5
"ACTN1:COL4A1",-0.5
"ADGRF5:COL4A1",0.5
"AHCTF1:COL4A1",-0.5
