ensembl_gene_id,hgnc_symbol,P_LC.04.06.CEL,P_LC.299.99.CEL,P_LC.96.06.CEL
ENSG00000168653,NDUFS5,78.71450137,106.7153044,121.7930884
ENSG00000010322,NISCH,45.747626,47.75089969,45.05784041
ENSG00000114857,NKTR,4.109568801,1.897483263,2.738457104
ENSG00000141279,NPEPPS,17.5348351,54.02847173,13.63552657
ENSG00000106236,NPTX2,6.185993541,6.281815037,4.427629721
ENSG00000088833,NSFL1C,14.43788277,18.97754588,18.83980754
ENSG00000102898,NUTF2,18.6814882,19.72488521,21.58484739
ENSG00000160991,ORAI2,110.3819711,40.52725455,83.8690232
ENSG00000167770,OTUB1,1.615036436,3.258424102,2.016572171
ENSG00000070756,PABPC1,51.1844941,89.48338303,89.36946266
ENSG00000184226,PCDH9,81.78129931,100.0665054,91.49308221
ENSG00000115539,PDCL3,3.240661301,9.303814637,5.922101851
ENSG00000113068,PFDN1,11.80536009,18.12088203,16.3512343
ENSG00000123349,PFDN5,6.60542433,10.20272222,9.414923426
ENSG00000241973,PI4KA,33.3127811,34.09627597,16.40413772
ENSG00000131788,PIAS3,5.1181099,10.43433988,5.690959923
ENSG00000180957,PITPNB,73.58557829,76.31668951,63.425519
ENSG00000021300,PLEKHB1,4.724929598,12.69853871,7.447139253
ENSG00000152952,PLOD2,1.501316254,1.658985533,1.206271314
ENSG00000143442,POGZ,4.339878901,2.502484778,2.531259113
ENSG00000255529,POLR2M,11.98551127,7.705641219,11.46170686
ENSG00000131626,PPFIA1,43.90821775,48.18218117,42.53727485
ENSG00000115685,PPP1R7,6.23505718,15.97935692,5.990913158
ENSG00000113575,PPP2CA,28.40483495,97.65743578,30.53660717
ENSG00000104695,PPP2CB,68.43760069,156.7686444,78.14290874
ENSG00000184304,PRKD1,2.449978463,7.572718734,4.913197326
ENSG00000117360,PRPF3,4.246050404,5.501630941,3.819844758
ENSG00000197746,PSAP,4.271137378,9.07243308,6.683600921
ENSG00000159352,PSMD4,32.5651536,54.49318206,38.77341073
ENSG00000163636,PSMD6,15.44989936,37.09416517,17.32055535
ENSG00000163629,PTPN13,3.267984495,3.517864873,3.44755606
ENSG00000141542,RAB40B,6.337464861,13.37304123,10.22020351
ENSG00000138698,RAP1GDS1,62.63032232,133.3819711,45.35778703
ENSG00000162775,RBM15,2.661132144,7.342292891,2.297142441
ENSG00000113269,RNF130,4.298547489,17.2087865,8.443716023
ENSG00000114125,RNF7,12.85066464,30.33699733,9.970770754
ENSG00000169855,ROBO1,43.9494807,82.15974887,46.84845287
ENSG00000197958,RPL12,69.10220933,65.02609227,66.38197122
ENSG00000174748,RPL15,83.31910409,97.98094897,143.3703134
ENSG00000182899,RPL35A,27.52283763,34.67703423,37.23996817
ENSG00000165502,RPL36AL,18.40906406,27.48848538,20.5525901
ENSG00000145592,RPL37,240.337189,237.4038034,335.8840541
ENSG00000177600,RPLP2,6.45225576,14.83584278,12.62230777
ENSG00000168028,RPSA,95.20423377,141.7262934,177.3863253
ENSG00000136444,RSAD1,9.11052552,9.456358747,5.086393006
ENSG00000183207,RUVBL2,42.51375357,69.19213274,42.51375357
ENSG00000105711,SCN1B,32.35635442,43.94450424,30.1611595
ENSG00000138758,Sep-11,13.58501897,32.03024475,21.53372319
ENSG00000142864,SERBP1,21.21489487,35.04081297,21.87728819
ENSG00000140264,SERF2,34.04967252,42.34412362,32.05156047
ENSG00000099995,SF3A1,38.97902616,37.0130091,41.38614492
ENSG00000115524,SF3B1,9.329228033,8.826901948,11.47385081
ENSG00000039123,SKIV2L2,3.327472811,5.024089094,2.989110796
ENSG00000117394,SLC2A1,7.144320713,14.20515319,13.67620226
ENSG00000174446,SNAPC5,7.241726424,8.995052551,6.110004193
ENSG00000139343,SNRPF,3.001703065,2.833402126,3.366675374
ENSG00000159140,SON,8.292309958,18.41160639,5.955166398
ENSG00000113140,SPARC,41.00084965,55.93026932,72.2548149
ENSG00000153037,SRP19,40.96058579,80.27085999,55.49318206
ENSG00000116754,SRSF11,16.7566481,25.77950418,17.96461962
ENSG00000157216,SSBP3,3.517864873,5.390519832,4.060680236
ENSG00000168610,STAT3,9.039798722,43.81068145,9.533821162
ENSG00000117632,STMN1,18.40906406,11.01496693,13.15929191
ENSG00000164828,SUN1,19.53166749,40.21036636,21.54253964
ENSG00000132718,SYT11,23.32838215,41.84903396,20.44371693
ENSG00000055208,TAB2,11.09859937,17.7423974,17.45847284
ENSG00000120948,TARDBP,13.8097516,33.96828616,21.06259364
ENSG00000113407,TARS,7.163783422,9.263303775,5.829578373
ENSG00000105254,TBCB,36.40615446,114.9003044,42.14686323
ENSG00000196628,TCF4,14.49026986,18.53799244,15.68878149
ENSG00000166848,TERF2IP,47.74258495,101.6656211,42.51375357
ENSG00000169908,TM4SF1,5.333347434,8.292309958,11.18906698
ENSG00000070269,TMEM260,3.545852747,5.390519832,4.412951149
ENSG00000170876,TMEM43,16.23953094,27.32011911,15.99556131
ENSG00000139921,TMX1,11.98551127,21.83340482,27.4502215
ENSG00000156298,TSPAN7,24.80566163,51.49432669,31.08354264
ENSG00000253352,TUG1,4.259344657,5.407397383,2.380770208
ENSG00000185651,UBE2L3,1.230381045,9.303814637,2.608608067
ENSG00000132549,VPS13B,11.02063965,15.39928216,8.431593201
ENSG00000184575,XPOT,128.7153044,231.3524765,119.1897363
ENSG00000119596,YLPM1,11.69884014,21.07091868,10.09881638
ENSG00000136758,YME1L1,6.439960071,13.12716911,11.16343874
ENSG00000128016,ZFP36,14.00953295,22.57904192,24.93647881
ENSG00000072121,ZFYVE26,7.087328109,10.74111385,7.087328109
ENSG00000015171,ZMYND11,41.06493202,22.27888574,51.55845527
ENSG00000172466,ZNF24,7.079134043,12.68408999,4.555027467
ENSG00000198039,ZNF273,4.724929598,6.187878777,5.646790512
ENSG00000081665,ZNF506,1.997862694,1.762996531,1.823415906
ENSG00000177853,ZNF518A,6.509762409,9.876193556,12.30096775
