"","hgnc_symbol","ensembl_gene_id","P_3A.CEL","P_4Aa.CEL","P_5A.CEL","P_7Aa.CEL","P_8A.CEL","P_MW4.CEL","P_MW5.CEL","P_MW8.CEL"
"24","CDC16","ENSG00000130177",46.84838554,55.98554268,50.23185203,66.03016485,55.1405985,55.86355727,38.512547,55.99911203
"25","CDH11","ENSG00000140937",1.523177708,1.95024925,1.531454865,1.043001764,1.935784487,1.922372176,2.353044755,2.582023821
"26","CELF1","ENSG00000149187",8.360684111,9.884472664,21.08417549,9.882454745,10.93717304,11.61307492,13.3493989,10.93717304
"27","CEP170B","ENSG00000099814",52.40112963,51.4847103,48.84834666,52.97535716,48.84834666,43.98815228,45.17394114,38.37277971
"28","CIAPIN1","ENSG00000005194",7.04165939,5.598523409,6.474290279,8.571362002,13.5302023,7.618756174,5.270177326,7.091433696
"29","CLCN5","ENSG00000171365",2.556460173,2.329533241,2.31202394,1.863079717,6.43205207,2.299768223,1.775213579,2.403286718
"30","CLNS1A","ENSG00000074201",12.69002872,20.03051854,16.32277239,13.89168521,18.92972322,14.64257559,10.81546066,20.13103987
"31","COA3","ENSG00000183978",53.5421333,65.12107394,57.2560474,75.43037488,74.03016485,57.2560474,41.11048205,56.75681771
"32","COL4A1","ENSG00000187498",4.836627626,2.744670052,4.288559533,4.3764703,2.363980138,3.06321054,13.43037272,16.88429661
"33","COPG1","ENSG00000181789",21.08598006,14.16521255,14.8920857,18.78620241,16.87252541,12.76800139,10.95391524,9.64725896
"34","CREB3L2","ENSG00000182158",2.353044755,3.479645483,1.847754505,2.535478654,2.894362488,2.210903868,2.635866489,3.276903345
"35","CREG1","ENSG00000143162",8.696415356,22.47567899,8.696415356,8.696415356,8.878125456,7.361878492,9.231999116,7.83497235
"36","CSRP1","ENSG00000159176",22.90997281,41.90077996,43.21198303,29.56703067,25.65536692,26.57586032,34.11804346,29.18970319
"37","CST3","ENSG00000101439",9.697163111,15.87935862,17.53090305,9.814208038,10.39389339,8.034789107,9.697163111,9.162128289
"38","CTDSP2","ENSG00000175215",7.472636044,12.2071941,11.1442422,9.514321739,9.490507354,10.7964703,12.2071941,22.60391977
"39","CTNNB1","ENSG00000168036",5.662781965,7.788039228,7.494352262,5.39656418,6.169997132,6.246279133,7.827942085,10.00785565
"40","CXorf40B","ENSG00000197021",1.347360448,1.161280293,1.476519164,2.084587938,1.476519164,2.034312896,1.363845706,1.395053156
"41","CYP1B1","ENSG00000138061",1.53608072,1.683330265,1.235698924,1.487587995,1.683330265,2.299768223,1.756775869,9.687766381
"42","DCN","ENSG00000011465",3.735697144,5.855740384,2.032177531,3.265900624,2.496241889,7.889838356,3.31411943,3.337842531
"43","DDX5","ENSG00000108654",18.99564177,23.20966979,24.82001006,16.31506289,19.50481911,20.239895,23.7464482,18.46333151
"44","DDX5","ENSG00000108654",3.970032828,4.3764703,3.65675679,4.706372123,4.689297866,4.3764703,4.3764703,3.947311738
"45","DLST","ENSG00000119689",4.161420716,6.416249384,4.946995957,5.56780819,6.767068902,4.921104079,5.816839562,4.279932633
"46","DMD","ENSG00000198947",3.043188956,3.532430457,3.453802298,2.283947674,3.731481664,3.151680469,3.043188956,2.676269
"47","DST","ENSG00000151914",1.126848572,1.203852023,1.230120201,1.115889799,1.170482918,1.532222123,1.308435158,1.488687884
"48","EIF2S2","ENSG00000125977",9.034964539,4.61597416,5.31553368,6.504442665,6.504442665,4.795653366,6.743875064,5.583089076
"49","ERGIC2","ENSG00000087502",6.340542242,5.490267924,5.903683197,4.694948395,7.265672046,4.948725498,5.903683197,4.174137068
"50","ERH","ENSG00000100632",68.29776576,79.93925575,79.93925575,82.93925575,83.4847103,66.55973221,81.85242193,69.6774232
"51","FAM120A","ENSG00000048828",3.592990128,2.676682037,3.207471475,3.692001155,4.004487044,3.505505816,3.592990128,4.304359772
"52","FAM129A","ENSG00000135842",1.560068569,1.974855607,1.689886897,1.865633853,1.560068569,1.487452926,2.46195163,1.501474094
"53","FAM168B","ENSG00000152102",30.21200383,30.21200383,37.84834671,29.41783303,30.21200383,28.47043678,18.03295674,29.76357669
"54","FBN1","ENSG00000166147",1.556578286,1.765452805,1.683330265,1.556578286,1.556578286,1.883376982,1.536891301,1.812509077
"55","FBXW7","ENSG00000109670",2.706718478,2.567400144,3.692307081,2.937390089,3.214410305,2.582225746,2.635531105,2.884078913
"56","GBAS","ENSG00000146729",1.977056682,2.122338351,2.228595108,1.661667817,2.002064067,1.668474484,1.367424427,2.010961916
"57","GLTSCR2","ENSG00000105373",80.52858968,107.4847103,74.7926039,112.3484149,95.79515296,79.4847103,77.44125561,89.75390719
"58","GULP1","ENSG00000144366",1.237265805,1.691889927,1.910159067,1.138816663,1.652520453,1.617608067,1.540045031,1.590453586
"59","HBB","ENSG00000244734",5.248037159,4.59658581,29.18377601,10.52098932,14.86471164,15.42076518,2.633506322,12.42586312
"60","HCFC2","ENSG00000111727",1.200373377,1.359747931,1.331731059,1.201541175,1.331731059,1.402437482,1.234951565,1.635042372
"61","HMOX2","ENSG00000103415",3.481729328,4.717745401,4.143244159,3.999219629,3.183867836,3.525292828,3.999219629,3.999219629
"62","HMOX2","ENSG00000277424",3.481729328,4.717745401,4.143244159,3.999219629,3.183867836,3.525292828,3.999219629,3.999219629
"63","HNRNPH3","ENSG00000096746",9.864993909,7.09836654,8.79403035,5.505511999,6.848430624,6.27488634,6.332755145,5.707508986
"64","HNRNPUL1","ENSG00000105323",5.935284433,6.055748593,6.649006987,7.493166747,5.19262386,5.86913802,5.814574339,8.023022568
"65","HSP90AB1","ENSG00000096384",28.84359678,58.58657152,48.22325982,40.05708332,55.18654897,28.74361134,30.07887472,30.84486458
"66","ID2","ENSG00000115738",14.54895481,8.696415356,14.08094842,10.74800164,12.93625341,10.06044772,18.06048205,12.93625341
"67","ID2","ENSG00000115738",1.784546753,2.001173106,1.979830928,1.951497302,2.861594033,1.806487095,2.468509749,4.158118584
"68","IL1R1","ENSG00000115594",1.917815288,2.778084639,1.917815288,1.486069312,1.917815288,1.917815288,1.917815288,4.26699058
"69","ITGA6","ENSG00000091409",2.375495376,1.730988003,1.979830928,1.159261891,1.479509926,1.941704633,1.683330265,1.613275628
"70","JAG1","ENSG00000101384",5.154544439,7.756787871,4.171567282,5.931535747,5.972080544,7.599558862,6.188843934,15.31433728
"71","KAT7","ENSG00000136504",8.452371554,8.082935347,12.41125859,7.414426727,8.271822427,7.342647724,7.915489337,6.461352934
"72","KCTD12","ENSG00000178695",2.283947674,5.007942559,2.480342655,2.06954522,2.283947674,1.533821907,5.042831093,6.422249381
"73","KDM6A","ENSG00000147050",1.523177708,1.612635586,1.523177708,1.556578286,1.43723913,1.873491633,1.794072718,2.591305136
"74","KLC1","ENSG00000126214",8.360684111,14.05218884,9.755511381,9.150631899,14.56851048,6.883609138,5.968661062,10.38063735
"75","KPNA6","ENSG00000025800",17.735127,16.28463939,15.38051685,10.88335772,17.03796316,13.97565823,11.55988288,12.2194464
"76","LYRM1","ENSG00000102897",15.265384,15.91382639,11.55366011,16.70250369,20.78118627,7.326058771,9.778757968,15.93603986
"77","MAN2A1","ENSG00000112893",2.197424914,3.823755734,2.479660728,2.604179898,2.706718478,2.22860815,3.706591574,9.843710988
"78","MBNL2","ENSG00000139793",106.6378906,110.158365,101.3043518,101.9803764,115.1817699,91.21198303,106.9999394,96.39380121
"79","MBNL2","ENSG00000139793",3.16173665,2.197322945,1.840692213,1.319161271,2.834393048,2.058431383,1.990412372,1.739133188
"80","MCMBP","ENSG00000197771",2.3873265,1.735744826,2.299768223,2.540034465,2.52671809,2.299768223,2.879379146,2.867416705
"81","MEST","ENSG00000106484",7.963024794,4.811131406,8.360684111,3.467754007,7.168081054,7.11737342,5.328016922,7.700511211
"82","MGAT4A","ENSG00000071073",18.50483163,12.12387637,11.1442422,8.682312697,10.22120719,11.68384319,11.4298486,14.72107828
"83","MLH3","ENSG00000119684",6.001912369,6.190911122,3.960207488,7.042449096,4.363724766,7.977917699,4.03717964,3.999219629
"84","MON2","ENSG00000061987",1.735744826,1.735744826,1.523177708,1.886325708,1.621243116,1.851414498,2.210923473,2.133648497
"85","MPHOSPH9","ENSG00000051825",1.870632056,1.555216572,1.625426825,1.870632056,2.158456208,1.900142975,2.117243196,2.097806591
"86","MRPL16","ENSG00000166902",1.331731059,2.236377663,1.453901753,1.785540842,1.437292621,1.453901753,1.17055869,1.239740209
"87","MRPS17","ENSG00000239789",1.791606856,2.445694986,1.979830928,2.588306773,2.195081572,1.309545313,1.556578286,1.555810732
"88","MXI1","ENSG00000119950",24.41247337,43.21198303,29.30296659,28.08647841,31.44700953,27.61621934,32.68065383,31.21632642
"89","MYD88","ENSG00000172936",4.864956351,5.553390411,4.3764703,5.125808101,4.193771751,4.3764703,5.218174286,4.344413846
"90","NACA","ENSG00000196531",9.2563289,24.1217666,26.77594785,19.51860603,19.06930393,13.97565823,14.14399597,16.5091191
"91","NDUFC2","ENSG00000151366",24.25481921,32.46529693,32.12107918,56.58022162,31.21093909,26.9671417,30.95799187,27.27594441
"92","NDUFS5","ENSG00000168653",233.6287049,356.3325541,246.211983,295.3584374,262.716603,180.7837711,164.7204306,167.5640781
"93","NISCH","ENSG00000010322",29.62603099,35.75743782,39.63984594,36.89967061,41.73339343,25.54999682,34.92554956,35.71323173
"94","NKTR","ENSG00000114857",15.32050061,8.999025298,10.52098932,5.778227672,9.819264568,7.509855327,6.095769183,10.52098932
"95","NPEPPS","ENSG00000141279",7.109286385,9.415007065,7.109286385,5.972128297,9.56782321,5.643159529,6.253777359,6.167702866
"96","NPTX2","ENSG00000106236",25.4139267,16.14398584,51.02310582,11.01309092,6.686293549,6.291682726,7.832022362,7.200188576
"97","NSFL1C","ENSG00000088833",7.384058786,6.522317004,7.639568238,7.384058786,7.384058786,8.270955501,7.049003939,7.384058786
"98","NUTF2","ENSG00000102898",34.83947576,29.66329309,33.30289331,35.79032547,30.75745837,24.47540233,26.47584593,20.52419344
"99","ORAI2","ENSG00000160991",24.23004007,30.55731007,29.63567256,23.3920905,27.79465249,49.17317281,34.72682774,29.27372122
"100","OTUB1","ENSG00000167770",9.663984973,12.09960053,9.663984973,11.51815228,12.6820836,8.696415356,7.258777259,7.042853464
"101","PABPC1","ENSG00000070756",70.11607823,70.572932,59.070721,44.14067771,72.16072846,74.684616,94.90549479,61.24915469
"102","PABPC1","ENSG00000070756",32.70244522,32.88563313,27.79567433,20.48431332,27.30313299,28.38388266,42.81818497,29.76583966
"103","PCDH9","ENSG00000184226",41.52518555,46.81665725,35.45682916,23.94111484,35.45682916,22.14930396,37.18588472,20.05548213
"104","PDCL3","ENSG00000115539",1.979830928,2.867416705,2.520225274,2.452043078,4.620054552,2.299768223,2.773337347,1.790413282
"105","PFDN1","ENSG00000113068",13.45447271,16.18655367,15.07350969,20.5351906,18.15514447,13.97565823,10.10363899,15.02704935
"106","PFDN5","ENSG00000123349",5.249186733,12.43658618,17.8677477,9.308824101,7.816336285,6.384766338,6.618584272,7.816336285
"107","PI4KA","ENSG00000241973",26.01131738,37.79879712,36.23272397,47.93739394,50.58896606,28.46908225,33.57690578,37.84834671
"108","PI4KA","ENSG00000241973",2.974417376,6.493782783,4.986341259,5.291989802,4.700971746,3.096819869,2.404642338,3.096819869
"109","PIAS3","ENSG00000131788",5.802026634,5.657550556,7.362307263,6.293840471,5.337527573,5.285594264,4.761443192,6.030360253
"110","PITPNB","ENSG00000180957",24.49211831,32.30289736,32.30289736,36.74826452,34.54690777,26.03019449,24.43929159,31.59476615
"111","PLEKHB1","ENSG00000021300",2.133362664,3.900450808,10.08458396,2.292785813,3.198897061,3.315984355,3.954679654,2.168293663
"112","PLOD2","ENSG00000152952",2.751342642,3.777487666,3.284056208,3.099025504,1.81557326,3.64088337,2.112078075,2.52657999
"113","POGZ","ENSG00000143442",1.382479079,1.483264456,1.486685028,1.486685028,1.322744832,1.829896179,1.889694375,1.556121168
"114","PPFIA1","ENSG00000131626",24.05004667,17.77032481,18.06459318,14.94789506,13.97565823,15.58211204,14.1388206,18.64401988
"115","PPP1R7","ENSG00000115685",6.290494687,7.667657482,7.008764197,9.353304296,7.995677868,5.41517227,6.503704668,3.331197995
"116","PPP2CA","ENSG00000113575",65.45465826,65.17519826,69.07049952,44.08377196,67.16996826,39.38754113,36.20226367,48.21198303
"117","PPP2CB","ENSG00000104695",38.67962555,47.21198303,78.30289212,35.79568462,45.34215517,26.12177766,31.19311464,45.63731786
"118","PRKD1","ENSG00000184304",5.42102415,2.974857702,2.984096039,2.492894879,3.629408446,2.7781375,2.577645759,2.725846005
"119","PRPF3","ENSG00000117360",1.412784492,1.523177708,1.503486239,1.503486239,1.319253032,1.456391479,1.75733232,1.503486239
"120","PSAP","ENSG00000197746",152.4717705,174.7419787,163.499226,176.0291633,191.2551854,144.9862622,158.346133,149.5345888
"121","PSMD4","ENSG00000159352",60.30289212,87.4847103,67.82857558,89.94652508,84.79714908,58.68891249,41.54588601,58.4958584
"122","PSMD6","ENSG00000163636",12.14372546,22.87307819,16.09564458,18.50795817,18.50839157,5.954593632,9.814208038,14.32082926
"123","PTPN13","ENSG00000163629",1.436094874,1.38701788,1.994740068,1.276055322,1.783713088,1.234847128,2.969930919,2.388476911
"124","RAB40B","ENSG00000141542",4.871639927,5.743018045,7.727133096,5.575566414,4.613796055,5.460562986,6.091965236,6.084423311
"125","RAP1GDS1","ENSG00000138698",68.87069854,90.75794582,78.9038974,91.73488354,92.82911808,75.76223175,61.72116076,72.4847103
"126","RBM15","ENSG00000162775",1.70121647,1.487392311,1.245985007,1.696554272,1.265256977,1.41815949,1.364335278,1.236023324
"127","RNF130","ENSG00000113269",2.996092972,5.235302932,6.257707061,4.406949338,6.297606936,4.232133409,4.447674948,3.643370899
"128","RNF7","ENSG00000114125",15.42958827,15.57025136,15.57025136,17.34047164,22.08430953,6.580882873,9.078748855,9.56048026
"129","ROBO1","ENSG00000169855",29.8004434,24.96779866,24.2138421,20.53364264,24.2138421,20.07912588,18.70366603,20.11344513
"130","RPL12","ENSG00000197958",35.72097246,58.45581896,35.27548054,35.91377843,35.48471055,30.38416491,60.38186408,45.90412522
"131","RPL15","ENSG00000174748",34.57562058,62.81051493,51.18165257,60.13619901,46.92981977,62.50481402,83.78132925,54.48220623
"132","RPL35A","ENSG00000182899",22.19097815,56.43161587,52.58400243,54.21198303,36.51920246,32.60853728,49.97274863,31.11056079
"133","RPL36AL","ENSG00000165502",8.656747552,13.09381979,20.1963095,15.8229173,10.87015822,10.22072863,12.24778217,9.365043462
"134","RPL37","ENSG00000145592",3.562619704,3.377465809,4.685289953,4.223147973,3.30554355,3.341054003,2.638024624,3.529450213
"135","RPL37","ENSG00000145592",128.9304153,297.6096498,230.7458787,224.8215728,207.9459006,219.7187071,292.0462821,254.7149168
"136","RPLP2","ENSG00000177600",24.36297695,65.12107394,56.94833645,47.72063649,49.76618538,36.21241091,51.65730285,33.9793947
"137","RPSA","ENSG00000168028",134.8637168,197.9088933,220.4025874,218.5564594,176.0301648,149.8238806,189.8421578,176.0301648
"138","RSAD1","ENSG00000136444",4.973659997,5.973758949,6.370866255,6.504442665,7.079533352,5.973758949,5.250446597,4.948314404
"139","RUVBL2","ENSG00000183207",106.7719596,91.90853147,82.04746268,122.7574376,137.8445794,87.6781951,70.1058905,98.54620348
"140","SCN1B","ENSG00000105711",135.1544751,141.2605706,176.6853352,151.5681401,181.4749501,109.0301648,108.6274206,93.29330998
"141","Sep-11","ENSG00000138758",7.457620063,7.810430028,7.727133096,6.504442665,8.637558343,14.78522786,7.534882145,9.291018376
"142","SERBP1","ENSG00000142864",1.979830928,1.735744826,2.080621874,1.285193219,1.502903655,1.205381158,1.781174911,1.589941648
"143","SF3A1","ENSG00000099995",4.631411031,6.257707061,6.391512113,7.200188576,5.808112968,4.791016758,7.11696586,5.776830366
"144","SF3B1","ENSG00000115524",10.23009802,13.66857379,14.69806108,12.32034949,13.69347684,11.54742269,10.73403452,12.32034949
"145","SKIV2L2","ENSG00000039123",3.714520932,5.057999004,4.406123347,3.739263265,4.21572324,3.052931738,3.644707136,3.117515455
"146","SLC2A1","ENSG00000117394",19.07169567,31.89022622,18.17709742,14.08499912,15.43588687,21.99332163,28.66660297,32.36829011
"147","SNAPC5","ENSG00000174446",2.924591148,3.219531183,3.219531183,3.299599552,3.219531183,3.093813792,4.600507202,3.136296296
"148","SNRPF","ENSG00000139343",1.805047558,2.783966817,1.964395951,1.722410612,2.098895036,1.534373542,1.543647122,1.78587852
"149","SON","ENSG00000159140",3.967756691,4.981181781,6.77667117,5.015310621,5.181084663,3.182279274,5.681261871,5.260024684
"150","SPARC","ENSG00000113140",29.18749934,67.03929258,33.30289331,32.939261,29.27052537,41.51234486,63.14750002,71.30289212
"151","SRP19","ENSG00000153037",40.61009516,35.45468678,33.84834786,41.6129531,39.23093892,34.03016604,24.90644989,30.63296277
"152","SRSF11","ENSG00000116754",6.468900009,7.112833444,6.793689193,5.021802639,6.596233686,6.257707061,6.480781076,6.119199694
"153","SSBP3","ENSG00000157216",5.409208048,4.06191306,6.488819776,3.833140875,3.999219629,3.969945136,3.309364893,3.417657521
"154","STAT3","ENSG00000168610",31.4343699,22.12687473,22.65136681,15.56497279,31.51701889,24.95335251,22.12687473,25.44370804
"155","STMN1","ENSG00000117632",2.100099672,2.301416386,2.770591145,2.239153848,3.238751056,2.070995853,2.301416386,2.360857121
"156","SUN1","ENSG00000164828",3.240858693,3.237891324,4.053937551,2.945695754,3.881810286,3.10299968,3.758122392,4.766524456
"157","SYT11","ENSG00000132718",64.72352763,32.49882113,32.75529773,36.00376346,36.12107418,26.72986383,37.40540848,27.24574913
"158","TAB2","ENSG00000055208",4.510646095,4.957751246,4.510646095,4.266566775,4.510646095,2.766594686,4.510646095,4.266566775
"159","TARDBP","ENSG00000120948",12.89070358,15.55631568,14.2482048,15.17775882,17.18733129,13.74797938,16.83432258,10.70162686
"160","TARS","ENSG00000113407",2.263071963,2.085465353,1.746989374,1.949193882,2.114633933,1.796670287,1.562282857,1.979830928
"161","TBCB","ENSG00000105254",86.19973182,100.8872714,93.30289212,105.5924788,122.9114677,57.8442984,56.52574462,72.8431057
"162","TCF4","ENSG00000196628",18.5997337,21.05574435,34.36411769,10.62680046,11.99839833,18.5997337,31.14555596,18.5997337
"163","TERF2IP","ENSG00000166848",112.5320003,135.3209952,160.2574489,98.15818893,141.1082115,92.21955239,88.90218375,120.7950946
"164","TM4SF1","ENSG00000169908",2.706718478,4.002652608,3.629408446,1.793898711,2.267140273,2.706718478,2.629813878,8.48278135
"165","TMEM260","ENSG00000070269",1.350310132,1.523177708,1.485249109,1.470230079,1.683330265,1.563818404,1.556578286,1.479900443
"166","TMEM43","ENSG00000170876",12.98901248,11.27771228,12.42700228,12.41125859,12.41125859,10.00152312,11.03404632,10.9470946
"167","TMX1","ENSG00000139921",2.394821411,3.382788337,2.32215911,2.394821411,3.790306509,2.303392413,3.728966228,2.447557435
"168","TSPAN7","ENSG00000156298",58.59671937,66.01115418,86.93925575,55.03016485,90.30699951,49.61473515,44.47330318,59.78065221
"169","TUG1","ENSG00000253352",2.7707107,3.409760812,3.614571928,2.926740842,4.151388163,2.299768223,3.043188956,2.7707107
"170","UBE2L3","ENSG00000185651",2.693279555,4.46702609,3.518200752,3.424486552,3.518200752,3.214506681,2.084600466,2.602139948
"171","VPS13B","ENSG00000132549",6.057172526,5.835676397,6.215830143,6.016953448,4.607724992,4.012435319,5.985560361,5.835676397
"172","XPOT","ENSG00000184575",67.84834666,55.94567509,62.03016485,37.67613295,54.90021805,48.18914853,47.39380121,39.87672281
"173","YLPM1","ENSG00000119596",2.846775734,3.505776956,3.360512853,5.445963248,3.156282117,2.764546572,2.502083544,2.929122544
"174","YME1L1","ENSG00000136758",2.283947674,3.496439202,3.045793646,3.498750186,2.854629365,1.788502547,2.02162625,2.891693078
"175","ZFP36","ENSG00000128016",12.41125859,12.41125859,11.160238,12.41125859,13.87289876,13.94833574,29.19663644,14.77385857
"176","ZFYVE26","ENSG00000072121",4.058819507,3.146204802,2.716662563,3.516733968,3.701178174,3.24224424,4.056143527,3.115303138
"177","ZMYND11","ENSG00000015171",9.238853545,8.096981696,11.4104776,8.2257053,7.521195064,7.875903786,9.637965787,8.59740896
"178","ZNF24","ENSG00000172466",8.360684111,14.46239806,13.97904164,8.180933704,10.22629162,8.161294849,10.71813248,9.801786786
"179","ZNF273","ENSG00000198039",1.785919714,1.163091484,1.683330265,1.177719971,1.321527456,1.971237059,1.94016384,1.915229315
"180","ZNF273","ENSG00000198039",3.148698825,1.721136062,2.792251769,2.667017739,2.706718478,1.59515588,1.668664216,1.155351047
"181","ZNF273","ENSG00000198039",2.642818681,1.683330265,1.674059673,2.522426355,1.683330265,1.342654255,1.524756722,1.371650258
"182","ZNF506","ENSG00000081665",1.580755446,1.580755446,1.580755446,1.681891732,1.580755446,1.438152453,1.94016384,1.704913475
"183","ZNF518A","ENSG00000177853",1.381521562,1.052933667,1.122242179,1.013846296,1.210188972,1.022290218,1.210188972,1.31451459
