ensembl_gene_id,hgnc_symbol,P_GSM329677.CEL,P_GSM329679.CEL,P_GSM329681.CEL,P_GSM329683.CEL,P_GSM329686.CEL,P_GSM329689.CEL
ENSG00000055208,TAB2,232.3334953,192.0287954,489.7139872,286.3103858,343.010179,363.9833261
ENSG00000120948,TARDBP,330.4291938,318.310988,449.5426734,437.1360249,573.5150362,413.5952399
ENSG00000113407,TARS,157.5764555,246.5072153,289.6529432,301.9966639,293.6345117,330.342287
ENSG00000105254,TBCB,1334.425104,1851.660577,982.9526147,922.760599,1376.649993,928.3766123
ENSG00000196628,TCF4,1212.47576,1371.881074,1362.334112,1765.178712,1844.924813,1492.979433
ENSG00000166848,TERF2IP,966.584727,1894.587305,1173.158388,878.1689305,1119.756606,1117.511861
ENSG00000169908,TM4SF1,245.7870933,192.3192166,990.7749928,1335.840355,1236.726663,802.8556813
ENSG00000070269,TMEM260,82.83028528,95.31105766,101.229135,164.2872579,143.1151312,101.9070577
ENSG00000170876,TMEM43,261.6080894,256.377606,433.7323206,491.5345777,375.5993559,340.2431995
ENSG00000139921,TMX1,26.94491999,27.82511723,78.40914062,50.72952707,48.97551292,51.90840042
ENSG00000156298,TSPAN7,1674.874071,4649.627114,1979.412342,1132.014065,1656.814572,1824.223622
ENSG00000253352,TUG1,241.1691917,190.9612109,287.9973549,455.6227274,397.8290409,339.8522305
ENSG00000185651,UBE2L3,433.6498775,431.311824,373.1723731,379.7642646,323.3615343,359.2077878
ENSG00000132549,VPS13B,166.1782504,129.0987033,184.7271506,171.2487804,180.6116807,140.5671197
ENSG00000184575,XPOT,366.5183572,363.8078044,459.86682,539.8908664,419.1005586,455.7228366
ENSG00000119596,YLPM1,326.034405,348.9968006,281.3863326,267.4014237,421.144344,272.3410733
ENSG00000136758,YME1L1,167.0869663,251.7287016,382.1063611,390.1314537,281.1754841,328.2166663
ENSG00000128016,ZFP36,455.1811206,173.7096767,1269.164514,947.4416595,642.0767385,1070.099485
ENSG00000072121,ZFYVE26,159.0891267,130.2527195,174.6479257,225.0346942,193.64004,172.4392075
ENSG00000015171,ZMYND11,2336.066659,1866.562543,2222.950881,1990.974123,2787.913365,2785.499289
ENSG00000172466,ZNF24,780.8706163,530.9283933,553.9172659,816.1522239,1029.955244,806.7645788
ENSG00000198039,ZNF273,26.50423269,23.84412409,31.85666277,51.79819867,47.11132784,33.69306846
ENSG00000081665,ZNF506,58.34974202,51.25820305,53.68590559,68.93542036,69.88032299,52.96375033
ENSG00000177853,ZNF518A,21.9729951,21.10787883,18.619543,41.19553039,35.36476574,21.52432629
