"","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL"
"H2AFV",541.935265992789,273.152297050183,375.833089117545,25.1958307971347,157.210033136851,102.177670405062,155.315070123755
"H3F3A /// H3F3B /// MIR4738",206.46302101655,210.916473201622,257.203058539126,31.5938218016748,179.328922599947,67.2507705733648,90.6512943135995
"HBB",102.595911072682,183.300829262324,664.051351434937,21.6068131879571,58.6283044652329,86.9197444788727,56.5150843541494
"HLA-DMB",70.7208304196172,69.0896592804326,70.7696669594921,94.5342603156702,84.8358962180118,73.0105178824693,68.2158757931432
"HLTF",217.972051039197,70.7109048959923,176.905732451212,23.2263650511024,38.5056485282964,34.0849910861302,88.4150701237564
"HNRNPC",257.415070123755,136.710739142577,231.102299441133,36.3083864173617,106.315070123755,53.2861203302513,150.419817241671
"HSD17B4",518.590917561356,262.631194134904,421.615070123755,36.2142684222604,115.892506067417,71.3982117986466,237.980875157263
"ICMT",114.534191385518,78.0240828178407,116.252101025136,81.2469942955383,100.083326404017,81.8185358696977,80.8452005220795
"IGF2R",25.0009071226429,6.37934708110574,28.6741280504663,21.1583572134474,29.3550129163653,28.071135057125,38.1515782716405
"IL6ST",176.310470080712,58.4777008923289,206.332393913653,33.529384230914,65.5158944170002,99.3074885982432,138.332551440628
"IREB2",3.67040792359064,5.02525917230179,4.61982962560846,5.44239776320023,5.40098668010163,4.8996761168996,3.91259996837135
"ITM2A",134.323689456872,153.131944083061,119.093600648777,49.021806843075,103.270921177151,104.681947082133,109.566827526526
"IVNS1ABP",72.9150701305269,33.2032049753767,79.2150701240793,6.42216769483037,18.5394405619939,20.1715766090468,36.9520160146664
"JAG1",155.129754982638,168.86116149,109.125787433551,112.115070123755,72.4747888863775,44.3905760586901,128.2150997695
"KCTD12",189.063131100814,158.081641603303,210.675569630513,183.007119045265,253.920588782554,222.204905832532,209.215070123755
"KLC1",109.371476981803,40.7124091149288,153.745983485247,27.7416067854453,29.7105712018501,26.6084304639105,63.6972843047838
"KPNA6",65.8638545835512,52.532608934311,94.8729438854798,31.668634800689,42.9609803803213,29.7397577320026,51.4502422006399
"LAMP2",344.883572100949,401.989991660492,327.411935384988,24.273344917183,184.815715753385,165.703312069714,330.039349997089
"LBR",233.214654739223,125.736305069438,225.61606544835,73.544532905759,97.8328000097476,85.1076146550023,117.128553589195
"LDLRAD4",280.094603534025,79.1753241443729,203.932945838308,16.182006565894,42.2220992310699,32.4214587432116,83.9584845385056
"LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA",45.8737638034643,68.2534232040581,51.0393375445623,34.1739855506113,61.9789560645921,64.6263117621788,73.5195352496456
"LOC101927673 /// OTUB1",52.7303781881636,25.1153503808568,70.4240264965768,40.4149230149344,30.1630990393446,22.893534382295,29.6143325087473
"LOC150776 /// SMPD4",58.1395482325667,39.2863889013236,70.2159676186945,44.3194510249378,38.5300403158941,42.2171103850317,50.4251016001715
"LPIN1",519.920500470013,199.292576554925,628.715548365456,91.3150701237556,266.016254116284,96.2580955843592,728.015070123756
"LRBA",51.1949433775376,24.6679850313881,50.6672512518839,22.4110121097483,26.7984105905288,24.1024360989618,22.8505679127419
"LSM5",18.5821844557944,6.53020724303005,25.1275909163665,8.0233073106016,10.9539980697654,5.51836931571248,11.4740385456638
"MAP3K13",7.86797860117454,8.04434573495073,8.25321500749994,12.3496757892634,7.83736601048329,10.1872454552873,7.69426492309407
"MAP4K4",100.441633920926,141.022772997584,149.215070123755,74.9521359285447,96.8418317091188,122.159942276702,103.136425902208
"MARS /// MIR6758",50.8455263256148,62.1769179210265,78.7608597062386,44.4874217207945,42.4667588725246,52.9416547060417,51.1441873689111
"MCAM",133.330812472279,128.615070123755,339.350847227957,79.3748056649897,46.7542998123057,70.8150701414184,134.314691938832
"MEIS2",429.106401672946,214.965070123755,119.254403749131,86.018816340348,101.007190953185,59.2074562785088,102.992797226373
"MINA",39.7765036151474,18.3465623735667,23.0216864311897,21.0616609331205,10.7705199726682,14.8404942874392,24.9307193430106
"MNT",415.971868221986,342.315070123756,456.715070123756,146.651956817247,316.562973673939,196.496517317829,435.945665502173
"MON2",69.9062336744363,25.0124843896111,31.5667600883024,22.4772057940128,26.4892785025613,21.5034802261657,37.2095571269905
"MPHOSPH9",29.5501506020703,18.4467432396126,35.9239185599253,15.5633233251407,15.0800167547963,11.7882658073469,19.6017817900038
"MSL3",48.1352547822814,64.6762114136558,49.6864204754946,52.4171766571057,40.0928081524382,47.0076700686298,59.8796790513276
"MTR",80.8343202177891,66.384662663768,127.595762648646,19.0957233910661,56.0863399626611,36.8991269013554,37.6392925689183
"NAGA",44.7494815229239,46.216018932657,47.1154573993757,78.2698268392303,56.6030042266884,61.0905984590511,52.1978589100494
"NBPF10 /// NBPF11 /// NBPF12 /// NBPF14 /// NBPF15 /// NBPF20 /// NBPF8 /// NBPF9",244.56356586357,178.449276001746,184.885911674757,73.015070130527,112.729216838742,92.8804345003442,162.015070123755
"NDUFS5 /// RPL10",594.753702517813,295.377001398536,525.721049528462,32.2772160514578,89.6689677619423,72.7663401697673,249.015070123755
"NEK7",141.394139011023,104.559859587994,118.545210158641,22.6861089753631,101.431708012487,78.4240488072538,143.720365070725
"NKTR",9.07804988637005,10.7137283748327,6.48076346272366,9.8103230808277,10.0827471732137,14.31934600054,9.36863928338896
"NMRK1",3.94142704883417,4.62468648276945,4.90837508425984,6.30417692117897,3.86930983151648,7.45909097323219,4.22488673697749
"NUTF2 /// NUTF2P4",46.5670265322578,32.982674702819,42.8416982160271,36.016907492562,32.3538717903194,28.897505956503,30.6664908318886
"OPHN1",636.915070123755,1088.97276759838,451.379053748793,868.580911509396,724.284282218571,1069.17068849651,675.220340409139
"ORAI2",167.465589776719,436.289544253593,297.715070123755,593.43354760875,521.915070123755,671.755395669777,365.115070123755
"PAICS",252.610266952178,120.233869743564,138.467312055849,13.1310972167571,48.4479573211675,24.5978878209059,117.323311744284
"PCNA",61.9410603270859,12.9025088421376,47.7975526784275,7.91332792457596,12.6726533505866,14.6076368338022,20.0473239687866
"PFDN1",145.115070123755,104.515070123755,129.94219337616,84.631518766557,53.9456700266627,62.7623758392503,90.4133080443879
"PHACTR2",71.8831959265934,54.2150992011087,79.2150701240793,19.4560453103085,44.9157634274019,27.3449878630052,71.3509209433976
"PLEKHB1",33.7925391121173,46.2449529523907,83.9785900218801,17.8171332479328,42.2240216472496,17.889257919291,15.9620379497036
"PLEKHM1",234.826706169139,223.316598384643,246.965622924667,217.640146834186,186.760215708481,198.391581312194,294.008839540387
"PLOD2",114.049537135457,95.1858554713744,85.915070123759,24.1638021274426,80.8757527694278,49.0013127754021,59.6457341164942
"PON2",221.500595455811,151.695085398614,186.821266879008,71.6874714081609,213.726972092642,117.215070123755,166.716790305816
"PPAP2B",124.608746169839,83.6447323057415,89.346852239433,80.2150701238666,131.237372468871,108.338261882557,83.59755668766
"PPP1R7",109.755446271857,27.7902643723455,73.3638673949603,15.1672620119583,21.6566618870446,17.8985426836688,40.1971856928642
"PPP4R1",149.928642188546,122.538296583248,181.679083624891,42.45748503463,56.3325209502702,42.5473076833925,55.7952911695236
"PRKD1",73.6822771104266,40.0790979208791,32.0035627225746,11.2131616773213,28.2647300935306,26.2885492243645,37.0207428370667
