GSM1676853	GSM1676854	GSM1676855	GSM1676856	GSM1676857	GSM1676858	GSM1676859	GSM1676860	GSM1676861	GSM1676862	GSM1676863
149647	0.437863215	-1.726892404	-1.414064221	-3.219084765	-0.632622443	0.862984991	-1.47758619	-1.590064656	0.014600469	1.288382826	-1.008273346
1548	2.324110002	0.104817202	0.41452569	1.705530414	0.734335725	1.720879117	1.997531239	2.092231772	1.301879705	1.990087801	2.114273819
1571	-1.908493814	0.574674896	0.796698168	-2.380891243	-0.138565319	0.64631542	0.26296772	0.45047083	-1.059357898	-1.050246689	0.116567373
157506	-2.882973855	-2.918132384	-1.565964263	-3.881631805	-1.6543959	1.129870393	-0.396917205	-3.211428794	-0.088668451	-1.967192912	-0.714532904
157777	-1.605929055	-0.614006654	-0.719782888	-3.558314912	-2.411845221	0.282413592	0.680509524	0.839347636	-0.744202783	-2.328157786	-1.693423185
159091	1.073428914	-0.055457518	-0.418698134	-0.362526074	1.416443091	-0.512817357	-1.250092206	1.366424064	0.570290133	1.090198167	-0.919079538
163154	-2.658298302	-3.543190723	-3.575423917	-3.898406629	-2.431516654	-3.193773728	-2.524671636	-1.981364078	-2.003375696	-1.786447244	-1.299969811
164127	-0.409604658	1.167072492	0.860618561	1.187448573	-0.320115821	1.163350238	-0.249722108	1.496307252	-1.009149309	0.998373951	-1.601731754
170575	-1.204711787	0.158520281	-0.351539715	-0.440819857	-1.816660829	-1.625883303	-0.931801844	-1.980594865	1.168761362	0.914634445	1.516263345
172	1.878990639	1.092815153	2.259102006	1.517879176	-0.2766196	1.292279647	1.403708658	-0.285277388	0.676774613	-0.589969362	-1.617800636
201158	2.256542312	2.298142467	2.353757312	2.066214294	1.953744609	1.263284231	1.989246971	2.046305073	2.750406709	2.742266027	2.532037876
202309	0.460698414	1.383536988	0.817609776	1.220748542	1.503724749	0.465112698	1.163313323	0.821268113	1.611192718	0.901552135	1.045958511
203102	-1.951616254	-0.514354266	-0.875137397	-0.454260222	-2.360992077	-0.679767619	-4.053325098	-2.507198007	-1.55538966	1.24352006	0.177947868
203111	-2.185294148	1.826891551	-2.072449131	-1.388147205	-1.758025733	1.235833926	-0.519535753	0.577222501	0.4919135	0.74491569	-0.004186226
