"","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000120451",3154,2944,4225,5135,3773,3494,6392,6830,4750,3906,4014,3452,2761,1933
"ENSG00000120457",45,74,94,281,60,143,47,370,84,156,61,119,63,228
"ENSG00000120458",1744,1510,2811,3125,2057,1885,2527,2886,2750,2391,1978,1800,1021,1537
"ENSG00000120471",25,16,15,79,10,34,16,19,44,45,59,65,18,36
"ENSG00000120498",436,456,388,462,560,592,372,444,489,535,525,628,483,483
"ENSG00000120500",83,88,83,145,57,100,54,295,54,67,95,146,52,78
"ENSG00000120509",37,47,48,83,35,102,41,161,50,36,51,74,29,17
"ENSG00000120519",3163,2943,4214,4412,4193,3265,4286,3127,3802,3308,4421,4011,2159,2551
"ENSG00000120526",1400,1597,2026,2563,1335,1757,1445,1989,2298,2163,1881,1764,945,1256
"ENSG00000120533",898,793,1059,1312,936,1051,1095,1306,1183,1403,1297,1270,539,616
"ENSG00000120539",332,387,261,381,389,710,518,575,560,455,443,517,433,553
"ENSG00000120549",21595,42255,35797,56886,36404,46621,28735,66729,30214,51156,43968,53394,32421,53410
"ENSG00000120555",268,259,348,481,302,441,458,560,473,396,517,549,335,433
"ENSG00000120563",1,0,4,1,2,4,1,0,0,0,3,6,1,1
"ENSG00000120594",22997,23107,17412,17318,16497,14129,44221,23919,31948,29537,15350,17550,15769,17666
"ENSG00000120616",4418,4667,5840,6855,5444,5903,6619,5728,6234,5712,5045,4874,3446,3685
"ENSG00000120645",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120647",364,464,375,543,449,689,738,1256,602,660,417,495,557,638
"ENSG00000120656",409,520,589,824,831,902,545,619,571,583,268,355,840,752
"ENSG00000120658",39680,37855,46743,58938,44363,50815,44986,56393,46023,50866,50033,57748,49627,57778
"ENSG00000120659",4,2,0,11,3,7,2,8,3,6,0,3,1,1
"ENSG00000120662",415,484,531,576,546,532,363,522,751,731,599,609,292,525
"ENSG00000120664",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120669",3,2,5,3,13,11,0,14,4,6,11,1,3,9
"ENSG00000120675",1538,1410,2001,2895,1943,2144,2856,3363,2015,1915,2009,2065,1388,1055
"ENSG00000120685",1623,1368,2594,2826,2151,1669,2525,2644,2418,1927,2717,2001,1884,1269
"ENSG00000120686",734,746,956,1428,808,952,1361,1293,1167,998,989,1054,468,653
"ENSG00000120688",593,538,861,878,928,820,1241,1025,934,905,1006,920,947,587
"ENSG00000120690",561,669,637,668,742,785,779,732,807,925,390,523,575,798
"ENSG00000120693",1138,1276,693,1319,754,1214,809,1573,1199,1474,807,1042,814,1348
"ENSG00000120694",6904,5864,6599,7479,5230,4635,4684,6350,8794,8232,6500,6334,4802,4323
"ENSG00000120696",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120697",1136,1279,2148,2940,2059,2223,2586,3032,2032,1783,2759,2319,1421,1646
"ENSG00000120699",244,159,279,430,304,265,280,436,445,362,369,388,681,321
"ENSG00000120705",740,704,1119,1286,986,946,1273,1351,832,747,855,760,884,638
"ENSG00000120708",10,11,29,21,40,2,457,321,105,50,171,38,418,32
"ENSG00000120709",611,565,629,796,637,416,826,612,739,623,667,529,423,312
"ENSG00000120725",5704,6185,7623,8766,8328,7538,8625,10328,7298,7462,7554,7062,6799,6251
"ENSG00000120727",1007,970,926,1336,1260,1264,1225,1312,1174,1104,871,924,1109,1363
"ENSG00000120729",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120733",2978,2844,3940,4915,4585,5025,5391,7528,3906,4146,4615,4494,3427,5079
"ENSG00000120738",301,251,269,544,504,651,779,865,256,167,219,200,264,205
"ENSG00000120742",1214,1316,1425,1941,1345,1607,1737,1502,1400,1377,1409,1375,1153,1160
"ENSG00000120756",1781,2802,3044,3890,2433,3463,2972,3819,2731,3613,2727,2889,2244,3025
"ENSG00000120784",1481,1760,1948,2825,2117,2515,2735,3535,2533,2504,1953,2222,1782,2947
"ENSG00000120798",1658,1747,2675,3850,2585,3313,3673,3307,2326,2458,2790,3111,1946,2055
"ENSG00000120800",1200,988,1973,2427,2008,1801,2725,1819,1775,1502,1581,1613,1082,1235
"ENSG00000120802",748,534,1309,989,1095,813,1389,908,1136,724,1169,824,555,585
"ENSG00000120805",614,535,829,1087,664,757,977,1307,904,747,858,830,479,314
"ENSG00000120820",1045,942,1556,1695,2054,1562,1900,1530,1369,1146,1456,1515,1156,1211
"ENSG00000120832",462,541,684,945,583,803,798,738,954,866,834,1106,329,533
"ENSG00000120833",402,585,174,818,156,347,495,658,359,630,115,381,349,372
"ENSG00000120837",615,508,774,962,499,642,704,822,891,756,803,886,329,472
"ENSG00000120860",507,692,1054,1311,852,1119,1377,1835,916,1135,1184,1139,591,657
"ENSG00000120868",1589,1257,1811,1861,1424,1347,1977,1732,2576,2071,1596,1445,1199,1383
"ENSG00000120875",20,44,382,266,112,89,170,266,52,26,20,24,50,3
"ENSG00000120885",3247,4478,2049,3592,2943,4129,7278,8886,3384,3634,3386,3526,1933,3254
"ENSG00000120889",257,205,339,228,430,117,361,199,330,193,261,147,458,251
"ENSG00000120896",371,298,194,335,317,324,222,661,336,406,228,309,167,433
"ENSG00000120899",21072,15576,26511,16757,24089,12074,30600,22019,23876,15329,21333,10367,23087,17219
"ENSG00000120903",122,246,122,503,54,353,158,323,146,180,68,319,221,187
"ENSG00000120907",2633,3108,770,7495,479,3480,2990,5346,3682,3436,921,3528,2530,3029
"ENSG00000120910",3331,3765,4235,6135,4541,5552,5053,6750,4536,4682,4629,5236,3624,4351
"ENSG00000120913",17,11,22,8,53,29,2,97,34,21,27,20,33,4
"ENSG00000120915",154,270,260,767,218,728,522,622,157,255,221,530,376,305
"ENSG00000120925",1451,1439,1919,2574,2628,2913,3535,3668,2000,2190,2646,2598,2457,2705
"ENSG00000120937",0,2,4,18,0,5,0,40,0,2,0,1,0,0
"ENSG00000120942",351,304,513,720,752,783,1331,956,535,523,478,444,346,457
"ENSG00000120949",1,3,5,3,10,12,7,3,2,3,5,7,8,8
"ENSG00000120952",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120963",10851,7464,6603,6974,6790,6158,7751,7248,11660,8689,7827,6508,7036,6158
"ENSG00000120992",1030,1378,1396,2163,1347,1948,1178,2266,1374,1514,958,1285,1196,1283
"ENSG00000121005",529,460,448,675,413,397,466,475,781,740,943,1119,433,750
"ENSG00000121022",724,726,1045,1414,900,972,1468,1439,979,908,1048,947,666,815
"ENSG00000121039",3,0,4,5,3,3,0,0,5,2,0,1,0,0
"ENSG00000121053",103,93,181,193,125,128,144,147,124,186,241,176,211,166
"ENSG00000121057",649,806,757,1515,826,1266,1338,1955,825,1187,982,1164,711,918
"ENSG00000121058",188,256,433,533,448,513,365,885,369,387,401,429,344,330
"ENSG00000121060",546,557,440,1095,655,906,898,1048,706,804,455,770,463,682
"ENSG00000121064",561,785,1657,2483,1356,1859,2582,4023,1081,1159,1624,2054,935,1997
"ENSG00000121067",2405,2416,3398,3598,2966,3057,4010,4631,3183,2899,2641,2074,1533,1785
"ENSG00000121068",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121073",195,211,402,437,383,306,774,663,287,260,388,302,271,233
"ENSG00000121075",0,1,0,0,0,5,1,0,4,0,1,2,0,0
"ENSG00000121089",10,12,35,37,27,22,50,36,23,34,15,14,8,7
"ENSG00000121101",253,330,170,234,222,206,208,529,368,422,172,201,77,305
"ENSG00000121104",645,871,802,787,712,677,1456,1235,1086,1137,748,538,801,597
"ENSG00000121152",31,34,49,29,65,32,73,37,52,34,109,43,42,24
"ENSG00000121207",11,137,21,202,28,84,22,110,51,224,30,107,17,59
"ENSG00000121210",3157,3512,3379,4197,2813,4146,3200,4549,3680,3298,2935,3318,2812,3094
"ENSG00000121211",108,141,96,157,64,90,60,227,161,167,40,50,139,94
"ENSG00000121236",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121270",46,46,33,82,98,82,160,50,52,58,37,48,79,20
"ENSG00000121274",2689,3333,4119,4238,4001,3543,5356,4621,3872,3404,3660,2686,2899,2964
"ENSG00000121281",153,206,122,184,155,137,122,393,161,253,78,104,126,87
"ENSG00000121289",2094,2215,2538,2955,2828,3004,3721,4729,2860,2938,2416,2059,2761,2002
"ENSG00000121297",3758,5331,4210,7751,3475,5467,4431,7014,5698,6868,3395,5320,2737,3276
"ENSG00000121310",1207,881,1824,2667,2474,2423,2015,3613,1485,1538,1757,2059,1990,2311
"ENSG00000121314",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121316",150,77,152,132,58,38,94,37,266,136,73,68,111,19
"ENSG00000121318",0,0,0,0,0,0,0,0,0,0,0,0,0,0
