"Ensembl_ID","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000169668","BCRP2",40.1769735298804,-0.105539478184269,0.312820269300846,-0.33738056175244,0.735830036039858,0.931237796178856,61,55,39,30,41,46,49,47,72,48,14,16,14,32
"ENSG00000183281","PLGLB1",376.589657189466,-0.0618113183974876,0.183218568213802,-0.337363832716773,0.735842645464477,0.931237796178856,440,441,386,473,322,303,331,376,493,426,321,380,315,278
"ENSG00000118197","DDX59",461.648109475925,-0.0568986040279001,0.168682388445714,-0.337312060566486,0.735881668907456,0.931237796178856,377,292,332,673,474,451,776,672,591,478,508,546,261,320
"ENSG00000161277","THAP8",183.167593733825,0.0752353403205663,0.223069464129347,0.337273147690627,0.735911000075069,0.931237796178856,137,107,140,217,136,160,257,405,191,176,160,114,200,254
"ENSG00000204296","C6orf10",7.14647838231919,0.112434943129015,0.333376425929073,0.337261229001646,0.735919984043827,0.931237796178856,2,2,11,8,0,0,8,8,0,2,20,37,3,3
"ENSG00000164171","ITGA2",367.77395147608,0.0855835031334688,0.253896611670185,0.337080131044218,0.73605649497572,0.931265290005871,507,501,219,458,176,260,718,435,311,402,243,359,265,336
"ENSG00000053918","KCNQ1",667.986401495536,0.108477157469699,0.322024440963679,0.336860013311641,0.736222430081366,0.931265290005871,170,286,1203,1729,417,634,855,633,263,185,1152,1453,401,479
"ENSG00000129214","SHBG",12.6210855060763,0.119576056855617,0.35508944647653,0.336749115024799,0.736306035090498,0.931265290005871,9,7,15,13,25,9,3,32,10,6,18,11,1,24
"ENSG00000085117","CD82",17.121098979857,-0.107267159150467,0.318566187358799,-0.336718595403386,0.736329044048178,0.931265290005871,9,14,12,22,20,7,35,19,7,25,17,15,24,18
"ENSG00000278540","ACACA",1096.50039844671,-0.0663365416741515,0.197011726625073,-0.336713670858764,0.736332756719231,0.931265290005871,1011,1105,1246,1307,1187,1187,702,707,1343,1215,1340,1231,822,953
"ENSG00000102181","CD99L2",6533.90725980933,0.0393566470122699,0.116895680812931,0.336681789597108,0.736356792519454,0.931265290005871,5481,5275,5156,7749,6054,7422,8146,8694,6542,5416,7059,7772,5792,6640
"ENSG00000170502","NUDT9",904.226798983603,0.0707071038876307,0.210023094349165,0.336663470780407,0.736370603489179,0.931265290005871,621,669,1022,1283,843,1013,1515,2080,929,816,912,874,393,469
"ENSG00000214013","GANC",1998.7060598151,-0.0655176109944361,0.194610547762998,-0.33666012324381,0.736373127281844,0.931265290005871,1431,1493,1771,1886,1888,1741,1845,1470,2830,2587,2878,2638,1519,2253
"ENSG00000153347","FAM81B",1479.31237520124,-0.0950689276669457,0.282499144400442,-0.3365281968153,0.736472592223793,0.931276306349584,1761,1285,1782,1673,757,651,840,932,2908,2448,1051,1020,1310,2145
"ENSG00000109475","RPL34",292.431809748851,0.0865984207052646,0.257346215252279,0.336505515033012,0.736489693428471,0.931276306349584,167,230,352,582,304,344,613,579,263,198,247,243,87,174
"ENSG00000168564","CDKN2AIP",236.418458949265,-0.0753226151097001,0.224041622636027,-0.336199203627746,0.736720653405947,0.931500143774147,265,195,256,335,233,290,134,269,361,322,208,207,189,105
"ENSG00000079277","MKNK1",4079.03434262921,-0.0521877462012551,0.155303814387471,-0.336036474101342,0.736843361770594,0.93157163951342,3334,3508,3187,4050,3340,3590,4413,4444,4454,4236,5338,4695,4281,4573
"ENSG00000112245","PTP4A1",726.371611510113,0.0664369378158316,0.19774525033441,0.335972356875724,0.73689171206069,0.93157163951342,500,509,713,1189,568,808,1209,1507,673,561,806,825,499,374
"ENSG00000172640","OR10AD1",39.3547188475573,-0.119075900372714,0.354487928956108,-0.335909605507209,0.736939033377314,0.93157163951342,23,12,58,84,76,48,3,20,14,23,84,80,27,13
"ENSG00000198049","AVPR1B",4.26789711531918,0.104937077867603,0.312648259225814,0.335639411930361,0.737142799939924,NA,8,2,5,4,0,0,0,0,4,4,7,7,0,16
"ENSG00000259577","CERNA1",20.9163577940738,0.118934035488945,0.354417992486662,0.335575614134265,0.737190915763314,0.931612362447682,11,11,24,19,39,23,9,15,13,26,40,48,0,21
"ENSG00000133703","KRAS",1194.82949352431,-0.0486762538086415,0.1451100192927,-0.335443782902799,0.737290345161154,0.931612362447682,1059,943,1446,1933,1203,1230,959,1161,1492,1293,1172,1169,969,1006
"ENSG00000130787","HIP1R",337.455630585599,0.0666298619659788,0.198683501553776,0.335356793316553,0.737355956621666,0.931612362447682,337,305,254,370,239,252,497,386,339,460,235,307,344,437
"ENSG00000159753","CARMIL2",185.635843841387,0.0742149535833083,0.221306379619214,0.335349363678556,0.737361560477707,0.931612362447682,241,223,171,190,205,199,163,163,188,230,174,162,83,199
"ENSG00000198918","RPL39",34.7179986197591,0.106096196561155,0.316376587418225,0.335347812639829,0.737362730361196,0.931612362447682,28,30,39,91,47,52,39,46,37,26,35,31,7,7
"ENSG00000172716","SLFN11",79.7601132074053,0.108817938397773,0.324496234521263,0.335344225360011,0.73736543609831,0.931612362447682,35,29,93,116,54,67,123,105,153,224,65,93,24,16
"ENSG00000137672","TRPC6",3925.23701450929,-0.101294123156463,0.302112123075492,-0.335286522517839,0.737408959417913,0.931612362447682,2427,1961,1816,3418,1393,2033,4136,6351,2868,3093,5359,4774,8900,6106
"ENSG00000262381","MTATP6P24",6.7371335046905,0.120445792305166,0.359250603377394,0.335269561617512,0.737421752616622,0.931612362447682,11,13,6,4,0,2,5,5,12,9,3,16,4,2
"ENSG00000009844","VTA1",2237.20829117238,-0.0489562353221785,0.146040742127786,-0.33522313437261,0.737456771941619,0.931612362447682,1998,1859,2668,3247,2165,2370,2650,2891,2887,2689,2300,2036,1172,1416
"ENSG00000115947","ORC4",5799.97165049605,-0.0563374828880572,0.168141054165206,-0.335060840243711,0.737579192078071,0.931629925102297,4785,4311,7945,8775,5057,5428,6039,7381,6511,5769,7825,7250,2951,3846
"ENSG00000128564","VGF",135.101529340431,-0.119615204621764,0.357005231899136,-0.33505168533653,0.737586097917427,0.931629925102297,34,16,67,60,324,234,462,624,58,23,63,11,78,62
"ENSG00000129007","CALML4",104.865247544412,0.0815017035404963,0.243295823015591,0.334990147098717,0.737632518728572,0.931629925102297,96,118,73,85,112,132,95,196,103,133,67,86,133,55
"ENSG00000187492","CDHR4",1.30052610602353,-0.0777475185909099,0.232135990607032,-0.33492229441717,0.737683703892317,NA,1,0,0,0,0,2,0,0,0,1,10,2,0,2
"ENSG00000161036","LRWD1",87.2196804379324,-0.0925754463300912,0.276589671568938,-0.334703193380153,0.737848992294232,0.931728841861552,137,105,51,123,118,77,61,53,99,113,55,58,79,74
"ENSG00000135940","COX5B",140.925493279298,0.0913155329591981,0.272829043674869,0.334698724627056,0.737852363618759,0.931728841861552,93,61,151,175,192,193,231,374,142,99,115,92,41,148
"ENSG00000105963","ADAP1",42.6604413627598,-0.0982773208507338,0.293705732370477,-0.334611517649127,0.737918155468849,0.931728841861552,60,42,36,57,75,35,40,88,45,44,23,34,23,13
"ENSG00000241185","RPL21P122",56.4747778705579,-0.11704292888629,0.349799282406084,-0.334600254412225,0.737926652970088,0.931728841861552,8,14,56,62,34,97,30,40,29,31,65,113,165,36
"ENSG00000012174","MBTPS2",923.495521658825,0.0717145764000201,0.2144651155714,0.33438807150035,0.738086739449846,0.931748713295756,462,393,826,1304,893,1250,1219,1270,909,668,1388,1458,607,835
"ENSG00000214309","MBLAC1",56.9016499823204,0.0872772577341267,0.261127601895269,0.334232218657341,0.738204333596152,0.931748713295756,58,38,72,72,51,67,26,97,81,70,70,55,19,47
"ENSG00000163728","TTC14",74.4266298923966,-0.108003071321053,0.323164733065583,-0.334204386402321,0.738225334244503,0.931748713295756,73,63,83,102,56,55,40,10,126,128,120,115,40,38
"ENSG00000206535","LNP1",887.52949840931,0.0517152867197294,0.154747058526572,0.334192373103165,0.738234398862183,0.931748713295756,590,683,780,1192,848,1089,910,971,761,835,1233,1175,841,752
"ENSG00000026036","RTEL1-TNFRSF6B",38.8966169424237,0.0878596169067404,0.262945491807937,0.334136236003299,0.738276757512866,0.931748713295756,34,29,33,26,37,40,56,72,40,50,49,59,14,26
"ENSG00000174016","FAM46D",43.0519609025476,-0.0883467201232052,0.264409548732313,-0.334128326857995,0.73828272547895,0.931748713295756,28,32,40,43,45,45,42,25,40,52,36,50,68,51
"ENSG00000123338","NCKAP1L",58.2042621142093,-0.110690567731035,0.331330687494174,-0.334078827917141,0.73832007601709,0.931748713295756,14,26,50,113,71,43,189,69,27,33,88,95,16,43
"ENSG00000197375","SLC22A5",1281.50214729047,-0.049783874197894,0.149087404803944,-0.333924078049128,0.738436849991045,0.93178649087933,1018,1119,1348,1936,1141,1075,1440,2178,1218,1188,1244,1044,1459,990
"ENSG00000152256","PDK1",2413.27363022157,0.0788783120145634,0.236236674290261,0.333895286375588,0.738458576802342,0.93178649087933,1717,1841,2056,2430,1738,1599,2616,2657,2407,2095,2104,2255,3165,4929
"ENSG00000177917","ARL6IP6",1444.20534273583,-0.0445642033744518,0.133501310030634,-0.333810981811532,0.738522196026652,0.93178649087933,1323,1193,1715,1953,1416,1173,1575,1714,1782,1682,1542,1417,806,1397
"ENSG00000179292","TMEM151A",139.075366025454,0.0889341095015742,0.266487667237703,0.333726924114077,0.738585630739168,0.93178649087933,110,98,132,232,100,94,271,433,118,124,125,101,88,70
"ENSG00000124422","USP22",3484.8239694627,0.0452871606959981,0.135719661322084,0.333681651242296,0.73861979695681,0.93178649087933,3068,2820,3257,4769,3257,3593,5300,6534,3211,3100,3290,3302,2409,2764
"ENSG00000100209","HSCB",574.783878048571,0.0653338562816439,0.195893840852334,0.333516643491068,0.738744328233248,0.931862822840249,348,377,491,847,595,705,466,547,587,594,539,532,755,739
"ENSG00000130147","SH3BP4",145.628814211328,-0.109590636133661,0.328648523298775,-0.333458477262142,0.738788227894253,0.931862822840249,172,72,54,116,124,54,420,343,127,162,45,54,135,243
"ENSG00000059691","GATB",3419.16855960707,-0.0507618919864576,0.152339842853285,-0.33321481127787,0.738972138602123,0.931955670876148,2819,2982,3006,3909,3174,3340,2635,3589,4554,3611,4353,4232,3193,2941
"ENSG00000179528","LBX2",9.42387261132983,-0.11524978233165,0.345919398730434,-0.333169468826064,0.739006363174128,0.931955670876148,22,12,4,0,4,6,4,0,23,34,6,5,6,1
"ENSG00000185947","ZNF267",616.701681392036,-0.074466463087354,0.223550917939791,-0.33310739125397,0.739053220286383,0.931955670876148,356,322,869,1026,479,625,963,809,805,615,801,836,247,351
"ENSG00000178381","ZFAND2A",224.844516057352,0.0624235711696344,0.187416403242221,0.333074213834724,0.739078263513272,0.931955670876148,227,172,206,298,293,236,211,309,235,214,242,192,98,284
"ENSG00000174365","SNHG11",91.0054609970737,0.0862676196944651,0.259059231387702,0.333003457287954,0.739131673421722,0.931955670876148,51,72,111,115,78,124,133,139,73,70,154,122,24,65
"ENSG00000124713","GNMT",89.4700727219293,-0.0975436766605977,0.293079045339571,-0.332823783247896,0.739267304321982,0.932006346975319,122,97,88,143,105,71,54,55,172,128,73,89,26,45
"ENSG00000119397","CNTRL",4103.64713522192,0.0554300774170387,0.16660062600772,0.332712299739319,0.7393514641779,0.932006346975319,3879,3055,3679,5238,3650,4796,3947,3208,5536,6072,3435,4665,3356,3700
