Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
PXK,-0.794275692,4.912444143,-3.059086202,0.011173322,0.999972288,-4.162740218,-1.734206494,37.72011466,46.54705876,49.43397871,31.63038216,19.01160726,34.98923647,17.11979288,21.34512872,24.61794013,37.35363252,5
STC1,0.525370642,5.470335928,3.023548429,0.011896589,0.999972288,-4.169738097,1.439303303,36.88908758,34.40761669,31.95458792,51.39824433,65.85163194,38.13442807,56.35311452,41.71993412,48.95682264,48.68099613,8
EMP1,1.180630497,5.38891409,3.002064252,0.01235661,0.999972288,-4.173998271,2.26675819,49.03879129,14.25991714,18.86542919,49.16226356,52.05134786,83.77906179,33.77797604,70.42798063,68.7990791,36.03824011,10
KCTD15,-0.870886838,3.675525672,-3.001304935,0.012373193,0.999972288,-4.174149245,-1.828786727,20.34515485,14.78043669,24.64476007,18.7629794,9.18914159,9.884513572,11.41628985,8.794501457,6.735443554,13.58086563,5
LOC102725188 ,0.721901329,6.843220907,2.954863887,0.013431328,0.999972288,-4.183435383,1.649354288,100.6149103,48.21729233,109.0987598,136.9474082,144.2100453,98.01507012,130.1310023,149.3981124,141.2133257,141.5855299,10
MOG,0.662666229,4.846128384,2.930080714,0.014032851,0.999972288,-4.188432691,1.583005458,25.02894242,21.22749256,17.0700879,29.40733376,50.72724036,40.84802012,31.38719747,31.31528396,29.68744026,24.03109528,6
SHISA2,0.471631916,4.237836754,2.904768858,0.014675202,0.999972288,-4.193566245,1.386677132,15.88852083,16.17446969,13.15485842,19.70740508,20.89006647,27.46911553,19.27129841,22.34897183,16.67828802,20.81738454,4
AKAP9,0.553048227,3.536016287,2.903113974,0.014718213,0.999972288,-4.193902912,1.467182389,10.48205433,7.14276747,9.319902358,15.27424963,10.60884638,14.91584291,13.96839612,15.87537116,11.01214917,10.70846033,7
ZBTB44,0.370623023,2.220903693,2.89978946,0.014805004,0.999972288,-4.194579627,1.29291105,4.111098507,3.734724497,3.847381699,4.53957876,5.479081321,5.109812353,5.49950995,4.321012333,5.345945509,5.083259529,3
POLDIP3,0.402332255,5.469436026,2.884988083,0.015197694,0.999972288,-4.197598677,1.321642747,35.60922449,39.88107112,34.09761623,54.17103329,47.60644152,51.29089839,52.65967568,46.4313772,48.45028534,38.41761978,4
