Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL,countP
EGR4,-2.134580732,6.575294898,-4.914393974,4.78E-05,0.025033842,2.044478454,-4.391094955,123.4969922,453.5934549,151.0732045,105.6560375,1036.506558,1039.316659,73.60802837,257.8059854,41.30731442,102.1441469,31.116908,34.37660702,29.37082698,55.68860275,29.66953873,66.34407204,151.4686346,54.57776817,107.8464124,50.39124614,56.34681472,152.9060515,74.76718269,41.58351343,22
FBXL7,0.501463302,7.599350532,4.899458371,4.96E-05,0.025033842,2.009911058,1.415648703,160.7906569,138.2879368,135.1679173,131.2825334,149.7071772,157.0317829,188.407887,179.2704651,200.4758573,199.1143128,252.1541139,230.1535413,223.7671948,270.596065,275.7284767,242.6587902,193.7810809,219.8796496,202.3844807,235.7591187,268.2749936,164.5595821,149.6465478,202.6092586,24
PLCE1,0.936827687,5.997475834,4.885362375,5.15E-05,0.025033842,1.977278302,1.914314261,34.88007997,43.94068807,52.10664169,37.09967607,43.98047168,37.21656079,48.90320515,36.66480998,73.69218552,38.06704588,122.8353292,151.4747974,107.961354,89.72613942,120.2504518,77.80846969,51.27871957,89.41254013,92.73693003,54.51685638,79.19250257,53.01843509,58.59729859,91.14853619,22
FBXL5,0.540256281,9.79274922,4.883256732,5.17E-05,0.025033842,1.972402962,1.454230824,894.8423994,687.8647851,559.8516067,732.1626023,607.554336,486.9833261,905.8381128,768.8334835,802.6874383,874.0230767,1104.213484,1081.524993,993.6042458,894.3017992,1244.647678,1268.946361,960.820836,1026.829622,1226.334062,837.6074424,1028.688499,851.7722536,1174.192007,882.0132331,24
MRPS12,-0.441358722,4.569512415,-4.867321548,5.39E-05,0.025033842,1.935501453,-1.357882572,31.13417234,27.75775589,32.02631136,32.80513436,31.70731453,27.51058511,26.55723774,24.55660285,21.73599138,23.72468769,19.79488779,19.51438989,25.81312148,22.60420269,16.46882285,18.94287629,31.7139805,18.5819082,20.38141914,22.74505942,19.89800294,23.5964249,19.89715569,21.57898073,5
HEG1,0.937224873,8.469732712,4.865716491,5.41E-05,0.025033842,1.931784034,1.91484136,323.0937785,162.5733275,192.9805753,214.6639398,237.7612533,123.4849905,386.935064,315.7887279,624.4919278,351.7333261,434.7749928,665.9755733,553.6260082,572.0424346,544.0071904,483.511815,314.4632677,281.8583263,354.7042032,409.5249928,646.518386,368.9739167,415.4224862,294.4910746,18
QKI,1.087883888,7.146565862,4.860543993,5.49E-05,0.025033842,1.919803514,2.125620266,109.766118,111.2417094,83.08938264,46.5154883,76.49611407,60.62114698,123.8052688,107.4418539,305.5358564,144.4416726,225.1722468,223.0860881,280.6104208,244.1500033,359.2248374,239.5189563,90.89087317,115.8111694,193.7475151,146.6379932,141.763262,132.694372,152.8725585,130.9704814,24
SMARCE1,0.504389916,9.024299887,4.859156874,5.51E-05,0.025033842,1.916590503,1.418523367,495.7294394,434.58094,371.6308788,361.8192491,396.6686112,318.0249928,460.0018299,498.1011209,555.1509135,508.8692744,736.4235334,750.2314922,718.4330284,586.7890296,659.6209523,738.9890389,457.5609161,524.3778934,623.9798851,508.8787355,523.8630822,508.40952,589.4121626,491.2292637,24
TMEM255A,1.083699359,5.938578049,4.84066036,5.78E-05,0.02573143,1.87373987,2.119463849,47.27046532,32.25111904,42.95113879,33.72035277,33.65723932,17.4457548,52.63306305,53.4097525,68.45985731,57.00173663,76.20007161,92.05279473,128.0613189,68.36769638,172.8771743,147.5389769,66.9826958,57.64939157,113.2917337,49.76976698,66.73285319,52.47265921,77.03482123,61.34840253,23
SETD8,-0.459160637,6.123842817,-4.829273993,5.95E-05,0.025757242,1.847355134,-1.374741757,74.75892204,91.65135732,82.94014823,71.98346465,95.68859223,100.58876,71.958547,107.7881091,74.94369657,63.89315541,65.1829792,62.54000936,70.13181176,74.01021455,62.3820982,63.79855082,69.83636333,56.99509086,56.25589991,81.50955245,55.78852488,49.19147185,51.82913937,54.74232547,23
