Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL,P_LC.04.06.CEL,P_LC.299.99.CEL,P_LC.96.06.CEL
AKR1A1,-0.949759064,3.259098464,-1.99561434,0.075958901,0.483767994,-4.28210467,-1.931550053,12.43876671,22.26507991,14.9680867,19.23451557,7.301734409,4.934636387,4.721529802,9.32592528,5.34161508
ITGB8,-0.47828008,0.654090194,-1.994853578,0.076053188,0.483767994,-4.283180656,-1.393081902,2.732904115,1.525975503,1.394133274,1.796273932,1.380175174,2.04444242,1.023455371,1.260959778,1.5558899
FLJ37453,-0.532352385,3.304497911,-1.994766407,0.076063999,0.483767994,-4.283303938,-1.446285514,16.67647504,15.93823976,8.991298443,7.198439221,11.68372922,9.679193479,7.799160372,8.292309958,7.128982111
C11orf31,0.443196506,1.851308897,1.994381745,0.076111722,0.483833621,-4.283847923,1.359613419,2.537184507,5.006681748,3.348154781,3.141114718,2.970030276,3.008942807,3.475433555,5.420865424,4.60947853
LOC101929740 ,0.479502848,4.078390042,1.994048321,0.076153111,0.483979,-4.284319418,1.394263121,17.85350851,8.864902461,15.27676764,16.75966155,18.23576392,16.18075285,21.33890228,25.52415232,17.20755983
APEH,-0.941364258,2.816376038,-1.993183507,0.076260563,0.484164135,-4.285542224,-1.920343318,5.917201957,23.62296835,8.322017072,12.23122283,7.706256782,4.108156122,4.745758792,5.450292208,3.664019658
FAM32A,-0.654475283,4.027205383,-1.99258479,0.076335037,0.484315369,-4.286388672,-1.57404336,12.24537501,32.81828824,24.4781518,23.17131126,15.81690215,12.91077821,10.29999747,15.81690215,10.7383345
GFAP,-1.223542878,8.554503693,-1.992415968,0.076356049,0.484315369,-4.286627332,-2.335194759,833.3264155,1227.08713,217.0158189,162.5207953,644.8264155,662.3473018,176.7974942,287.1754595,191.9627596
AC009120.6,0.470097068,2.817357172,1.992410735,0.076356701,0.484315369,-4.286634729,1.385202665,7.331507445,4.709578133,5.306299895,6.064067553,6.66675598,8.629423827,8.665070531,6.519170485,11.89567931
POLR2F,-0.828068695,2.897242166,-1.990360483,0.076612323,0.485134442,-4.289532546,-1.775307206,7.301734409,10.61923492,16.86981914,14.74502349,5.39370789,5.179946019,4.149591913,7.301734409,4.330040298
CAPZB,-1.069247375,3.816156018,-1.989931234,0.076665944,0.485227708,-4.290139112,-2.09833842,16.95929982,30.42169783,28.19318421,31.3022784,12.1308492,6.226055592,5.478953934,14.00953295,8.269131874
CTNNBL1,-0.818435491,3.285285996,-1.989493476,0.076720664,0.485227708,-4.290757654,-1.763492563,9.157384914,13.99546665,20.23247478,15.92801322,7.261171231,8.904076717,3.706488536,11.58078647,6.941621141
IGFBP5,-1.766587927,4.268501664,-1.989368043,0.07673635,0.485227708,-4.290934879,-3.402482936,150.046133,7.409309927,31.80079887,9.952731017,35.29251609,47.77587502,6.69735344,4.903504715,18.82952589
PITPNC1,-0.402668208,3.18669922,-1.989338203,0.076740082,0.485227708,-4.290977039,-1.321950547,10.17979455,9.414923426,7.066467171,10.62253259,9.414923426,14.70211164,8.184922921,7.301734409,7.227783129
DSCAM,0.731441698,2.764910957,1.989233191,0.076753217,0.485254644,-4.291125407,1.660297413,4.288789853,6.824216576,8.748377234,6.353097484,8.290075195,2.652747778,11.48615048,10.15508969,7.421247539
MIR6840 ,-0.880064991,4.887946284,-1.988600524,0.076832399,0.485337718,-4.292019226,-1.840458209,57.04078356,23.7607254,47.31511531,18.38362826,34.32605023,56.39783973,16.15023544,36.00740726,13.17749065
