Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
SERPINI1,0.080959672,5.076545428,0.284149288,0.781285322,0.937078553,-5.257777603,1.057721396,47.0652956,21.47810379,33.78320972,54.56483922,29.06571267,50.42620568,23.42138864,27.20032805,33.22467666,33.1077109,10
NRN1,0.056192954,6.422558506,0.284065523,0.781347943,0.937078553,-5.257796847,1.039718483,92.5143305,57.57869857,109.1828224,88.45552291,70.60326371,123.4008196,85.72887223,77.88843793,79.4014613,90.76241519,10
HIGD2A,-0.033341714,11.02439914,-0.283591212,0.781702561,0.937148778,-5.257905711,-1.023379837,2030.548596,2093.134594,2231.985286,1940.292422,1800.599425,1910.422243,2427.672387,1910.935551,2044.202829,2560.192422,10
MICU2,0.025820306,9.964472217,0.283406142,0.781840942,0.937148778,-5.257948139,1.018058388,1013.991973,995.2485432,951.7576491,978.7044671,916.7171718,900.2114535,1021.153084,1160.407764,1021.642875,1055.178126,10
ESAM,0.050018561,6.501375273,0.283393398,0.781850472,0.937148778,-5.25795106,1.035278243,76.88613406,81.77145645,109.9657069,91.87081714,66.80193488,90.02664992,116.3382562,84.17747175,83.51845365,119.2186208,5
PFDN4,-0.028169707,6.457121976,-0.283373909,0.781865045,0.937148778,-5.257955526,-1.019717627,93.38438546,91.96762249,82.27366106,71.2941012,92.7633668,91.20408621,90.13555013,91.01202346,93.61565539,83.73676805,10
CENPBD1P1,0.048575047,6.783429968,0.283337792,0.781892052,0.937148778,-5.257963802,1.034242895,117.9391208,111.0825664,95.06847868,111.1065475,99.88069899,82.9836762,96.95335984,113.8924218,158.8248686,130.8062551,10
MTX1,0.039094139,7.657943134,0.283266256,0.781945544,0.937148778,-5.257980191,1.027468482,179.1396066,229.7079812,189.1168372,169.2922514,181.484037,227.262683,201.0554481,212.2645236,184.290472,264.1850283,10
LBH,0.049225975,6.083278499,0.283035326,0.782118234,0.937148778,-5.25803307,1.03470964,75.44526494,56.16895574,68.47006225,67.48838855,47.89237126,81.76086298,79.21434275,79.60510649,55.5214942,76.49220473,10
RBPMS2,0.047365375,6.18964793,0.282827744,0.782273476,0.937148778,-5.258080566,1.033376066,78.39275722,62.39976334,74.20062253,70.6755309,49.67521199,78.59275722,92.22150305,89.49244027,71.50356605,72.62612656,3
FBXW12,-0.025773038,8.876595689,-0.282699449,0.782369426,0.937148778,-5.258109904,-1.018025034,500.1242411,500.2854062,430.8853287,475.1274782,484.837584,472.6282084,452.7834714,485.1587341,506.1444382,403.2582116,10
FASTKD5,0.030499718,7.929310764,0.28239718,0.782595506,0.937181811,-5.258178973,1.021365843,223.8449956,274.2878834,225.6557216,211.7924218,235.153882,292.5810337,254.9282939,255.4178018,240.316082,234.4459377,10
FARP1,-0.059136429,6.225720134,-0.282362021,0.782621804,0.937181811,-5.258187002,-1.041841947,88.26901491,55.53675005,93.1924298,67.78755843,55.01923987,91.69339203,77.88464933,71.3088498,104.4666966,60.80508415,10
WNT9A,-0.019670699,5.782000901,-0.282130001,0.782795357,0.937223156,-5.258239963,-1.013728066,54.10855976,55.82747377,56.75292581,57.40921538,53.14977423,55.03165868,55.64159993,55.96595701,53.2968918,53.25173858,7
RPL30,0.021055694,13.06289763,0.2816839,0.78312908,0.937337619,-5.25834167,1.014701717,8700.721704,8195.598753,8521.684626,8590.150379,8671.187026,8396.435207,9077.593701,7939.959608,8456.815242,9086.750803,10
TLK2,0.039623182,7.732666399,0.281480779,0.783281046,0.937359329,-5.258387928,1.027845329,201.9924218,224.5084061,200.2984577,247.9917135,263.6051297,243.0823718,199.794007,161.5924218,208.2986957,195.2385383,10
GATA2,-0.037498751,6.577210345,-0.281309556,0.783409156,0.937447104,-5.258426896,-1.026332895,89.28613696,97.70678188,105.3924219,77.49471742,94.18731299,96.17533698,105.8423339,108.5344463,76.29779067,111.375765,7
PHACTR3,-0.058427218,3.055812742,-0.281265767,0.783441921,0.937465793,-5.258436858,-1.041329916,8.086407565,8.769649617,8.82818745,10.87530665,6.045839969,9.091724658,7.91119288,12.36429045,6.672419558,6.472388815,5
LOC441259 ,0.065107872,8.231302526,0.281093631,0.783570722,0.937519545,-5.258476004,1.04616316,183.4318514,396.614557,339.3162854,307.4574954,362.747397,321.5149005,200.7494999,337.2752753,355.2924218,282.1149595,10
LOC100996732 ,0.046072965,6.216140542,0.280924792,0.783697062,0.937539805,-5.258514377,1.032450751,71.55084919,71.16067714,75.46642782,93.12785549,57.83272031,72.29209692,62.36733325,104.092422,69.51279283,76.3930543,10
OSBP,-0.05640549,9.291167094,-0.280796053,0.7837934,0.937574038,-5.258543621,-1.039871665,570.3496028,676.6756359,691.6649212,559.3246921,949.8737041,670.5387082,753.7993954,536.855268,563.2890606,429.7188809,10
BAZ1B,0.028305993,7.934542036,0.280743261,0.783832907,0.937574038,-5.25855561,1.019813961,232.770339,237.1452648,254.5478109,230.0787862,223.9953486,253.9271419,299.5924218,222.4126657,254.5299832,246.2555875,10
ZNF580,-0.060870346,6.819963163,-0.280617834,0.783926773,0.937599811,-5.258584084,-1.043094847,115.3141828,131.5018264,103.9216213,126.4670823,82.92148727,69.05534478,152.8924218,130.6860758,120.0530879,123.8180319,6
LETM1,-0.030015568,6.692357417,-0.280027659,0.784368487,0.937807569,-5.258717896,-1.021023143,105.5910033,115.8115257,94.49242711,108.6017574,90.957418,101.2593519,107.7452126,122.8924218,93.59198568,97.71374801,5
DCTPP1,0.040926926,8.868003956,0.279695355,0.784617233,0.937893509,-5.258793118,1.028774598,423.5248913,465.4641964,487.4924218,361.8924218,385.8389278,532.7703659,471.0391167,564.4236362,461.6300645,565.1152043,10
BORA,0.04449426,4.062848299,0.279434753,0.784812325,0.937967445,-5.258852048,1.031321584,14.62803077,14.37697039,20.80351642,14.06243936,16.34239821,23.17020143,16.7206851,14.83012386,18.2941548,16.08364985,9
CKMT2,0.042493741,12.41498855,0.279426554,0.784818463,0.937967445,-5.258853901,1.029892488,5136.115737,4959.785567,6010.231158,5842.021037,4161.950458,7499.781738,4893.064066,5503.474867,5251.431502,5976.492422,10
CTD-2528L19.6,0.041715123,4.374629725,0.279201552,0.784986916,0.938015425,-5.258904736,1.029336809,21.37801104,19.0460578,20.63199149,21.86670993,31.04092392,19.02766827,20.07696586,20.11210656,18.05921901,18.64987247,10
