Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL,countP
CHMP5,-0.850766149,4.710723805,-5.625823169,8.96E-05,0.15858625,1.185218301,-1.803458405,33.21198422,39.33952595,49.75773075,19.61668146,19.21936792,20.57599263,20.13988127,28.42663033,22.63784137,22.04408513,27.5512625,11
UBE2G2,0.609904144,3.052514477,5.593069791,9.46E-05,0.15858625,1.145679164,1.526157804,5.691716152,6.488467748,6.147935106,8.461645164,10.50115399,9.871964434,8.892459654,8.461645164,8.461645164,8.942513851,11.30528188,10
OR2L13,-1.027163363,0.60411011,-5.560038888,9.99E-05,0.15858625,1.105603538,-2.038013154,1.930664405,3.629529411,2.369420265,1.068094764,1.39850088,1.293304702,1.39850088,1.606645551,0.984727343,1.113377704,1.266758913,5
EML3,0.661392877,2.620079678,5.558085917,0.000100226,0.15858625,1.103227706,1.58160888,3.898678047,5.077583055,4.317131609,8.185851581,6.070240014,7.594635587,6.220328836,6.169997132,6.921346183,7.645242219,7.239720831,4
CHI3L1,3.601127056,3.974952764,5.550392325,0.000101518,0.15858625,1.0938614,12.13520904,3.008166436,1.724942136,3.231987123,24.58724179,62.72580709,8.611968379,49.2918395,27.79026227,9.814208038,48.50959682,100.051831,8
KIAA1841,-0.998541983,5.827041756,-5.531502505,0.000104766,0.159113613,1.07081803,-1.99797978,98.7348879,99.30289212,84.47839063,54.93925575,41.5535687,40.03016485,36.61614326,48.51270574,54.93925575,38.18051759,69.97591318,11
SERPINA3,3.021719202,3.746609334,5.39783789,0.000131103,0.183675716,0.905870258,8.121347961,2.268591755,4.868212294,2.268591755,13.23801559,46.56112426,9.037393472,47.96153194,14.86471164,14.25268808,27.84434422,64.53638757,8
GFAP,2.614861884,7.466297591,5.347581552,0.000142728,0.184961594,0.842994039,6.125645525,158.4417657,21.79083309,30.70243658,146.8363798,412.5756194,350.5756194,207.7102108,335.5756194,255.0271491,374.6311967,352.7775611,10
DLG5,2.344622187,2.850851345,5.338713423,0.000144889,0.184961594,0.831850408,5.079273595,2.15839939,1.482705301,3.384214453,14.10272664,14.72036645,22.94370469,9.279335677,8.816908611,9.707555804,17.89520296,3.757508052,5
MTFP1,0.678245558,2.426539928,5.336371139,0.000145466,0.184961594,0.828904676,1.600192598,3.438386353,4.403182983,3.679558915,6.070321682,5.337527573,5.337527573,6.002459384,7.033782249,5.337527573,6.830231684,7.310910889,3
CISD2,-0.99269702,2.866956145,-5.318316538,0.000149991,0.186140078,0.806164493,-1.989901501,9.756377509,11.32538518,15.76790461,6.821016909,5.006562234,7.200188576,7.200188576,7.200188576,4.433281423,4.953084843,6.38705665,10
LOC101928061 ,0.937414002,3.513157666,5.263925473,0.000164538,0.186140078,0.737292741,1.915092401,10.21098081,5.874098477,6.011766973,11.10101899,16.07218816,13.62086583,14.77385857,11.60847447,12.36312122,13.48167103,17.15654673,10
NQO1,1.000795642,3.820389074,5.261259618,0.000165288,0.186140078,0.733903072,2.001103298,8.886815077,8.353180605,8.360684111,27.00488996,13.97828889,15.10226753,18.05715927,11.8543682,18.39870539,18.84546434,17.03210825,9
CEBPD,2.149374807,2.844933267,5.260301579,0.000165558,0.186140078,0.73268459,4.436354975,1.623454493,2.406030592,3.679558915,9.643870042,13.09036046,7.885287371,5.645402644,7.557127796,9.661060835,15.19224215,29.39387568,8
DTNA,1.395929528,4.50663951,5.244022151,0.000170224,0.186140078,0.711953674,2.631580501,17.68248899,8.480605271,9.486246854,23.30477122,35.22017123,35.78793065,17.87721532,23.30477122,34.09277302,37.59644491,37.5300384,4
ATP11C,-0.890294672,2.049265096,-5.196800965,0.000184553,0.189192862,0.651543173,-1.853554676,5.42197434,7.036627822,7.143117717,4.906503006,3.673874163,3.284056208,2.85873801,4.216816206,3.320705187,2.634929919,3.58853925,8
ADD3-AS1,-0.948559845,2.022764117,-5.194889382,0.000185159,0.189192862,0.649088998,-1.929945149,6.09791418,4.886591994,9.452742597,4.440327817,3.892896067,3.073783553,2.793118538,3.073783553,3.567039588,3.435251875,3.168866178,3
SLC17A6,-1.37036403,3.017188477,-5.180114705,0.000189914,0.189192862,0.630097882,-2.585357933,21.67105928,15.48569744,12.56107789,4.157011881,5.181946689,5.336841822,8.352576902,6.169997132,11.63315694,6.257707061,5.386317614,8
EEF1A1,1.467082637,6.438121686,5.172658777,0.000192362,0.189192862,0.620498883,2.764622765,52.79201973,25.67133827,52.31391833,61.57531376,145.8269423,134.7574376,87.87133127,113.4783878,118.4018342,160.3336558,128.2834121,11
ORC6,-0.688539208,3.897653612,-5.161869008,0.000195963,0.189192862,0.606589657,-1.611650824,20.38418979,22.21643597,20.71055052,14.85545167,13.02397745,15.97282011,14.85545167,12.7977607,11.93380002,12.5930767,9.734555238,11
PRKAA1,-0.585936793,3.287911107,-5.158097571,0.000197238,0.189192862,0.601722794,-1.501013334,12.22944044,14.7629971,12.51807349,9.075189676,9.075189676,7.761351232,8.99402424,10.60710581,7.315761247,8.943259644,8.55627697,10
SCN1A,-1.033549286,5.50649209,-5.082584349,0.000224684,0.211803199,0.50372624,-2.047054179,67.75743757,83.73343506,79.03685182,39.55452951,41.92924645,29.69484013,42.08744185,58.11214931,25.23579464,39.75745709,31.61384735,11
MAST4,1.148626743,4.060965224,5.070730318,0.000229342,0.212530444,0.488247788,2.217027618,5.872475145,10.75876703,12.95458965,24.17439004,20.18503013,19.36819784,19.96898444,31.6803305,18.73423232,17.404591,17.5496672,10
MTMR4,-0.660268269,1.095296138,-5.057244895,0.000234765,0.213929767,0.470607872,-1.580376467,2.807952331,2.658255031,3.546696205,1.920110302,1.794072182,1.847754505,2.046360467,2.360696644,1.620028969,1.589974147,2.01990535,6
SEC61A2,-0.674246597,3.791764432,-5.028757232,0.000246666,0.217523461,0.433234675,-1.595763217,16.39866163,18.51128713,24.26049874,12.5930767,12.41125859,9.238904115,13.42690375,13.28781456,12.55937531,12.39749496,12.17135258,9
VAT1,0.71996573,5.367336469,5.011690966,0.000254096,0.22051868,0.410774382,1.647142907,34.8188381,22.71245065,29.93927656,55.92852306,50.28796896,42.07200594,39.57150995,44.08327683,48.33066729,44.44281767,56.4847103,8
C9orf72,-0.914892453,3.026265177,-4.977742187,0.000269579,0.230300075,0.365938009,-1.885428516,8.682300958,14.32810446,17.34047164,7.919453982,7.203049972,7.521195064,6.223065234,6.765998386,6.953167256,5.149603053,7.521195064,6
CAPS2,-0.635144796,1.249933516,-4.943037032,0.000286428,0.237279339,0.319886448,-1.553093618,2.673200291,4.067389246,3.2330594,2.283947674,2.270825466,2.132522041,2.283947674,2.270825466,1.98862988,1.974107761,1.739495118,9
TUG1,0.740250518,1.419859586,4.902791674,0.000307352,0.247124214,0.266210671,1.670465884,1.736457141,1.907792577,1.887446288,2.7707107,3.409760812,3.614571928,2.926740842,4.151388163,2.299768223,3.043188956,2.7707107,5
DOCK4,0.855695435,4.546681518,4.887450398,0.000315742,0.250191179,0.245672968,1.809630857,17.41941526,12.54836911,16.01132103,25.43692752,26.38611213,28.38024906,23.94111484,20.87083419,26.54429903,31.03435498,41.41524659,11
NIPBL,0.936687457,1.932563367,4.817727467,0.000356995,0.252126286,0.151801744,1.914128197,2.226726432,2.194355528,2.761183494,7.026097581,4.372184743,4.946995957,3.541386759,5.234664811,3.191672953,4.395214992,4.70403838,8
BTNL9,-1.086021323,4.561653447,-4.816325055,0.00035788,0.252126286,0.149904705,-2.122877793,38.06831749,41.99723944,42.56866415,16.55913458,22.10543767,14.12378533,31.87053861,19.40551658,12.5930767,23.11843649,20.10816606,10
NOG,-0.915907618,1.027371813,-4.807760904,0.000363335,0.252126286,0.138312411,-1.886755681,3.106735453,2.286162251,4.763863709,1.856125086,1.826829802,1.622830621,1.778525985,2.229234599,1.363080161,1.576737863,1.590453586,5
ZNF271,-0.441055727,0.384696594,-4.793978263,0.000372298,0.254442248,0.11962909,-1.357597419,1.646786179,1.657616306,1.588461188,1.371161716,1.194911319,1.190928445,1.276055322,1.170482918,1.090386288,1.068476641,1.276055322,3
RWDD1,-0.783224231,4.609218819,-4.777740156,0.000383153,0.255791065,0.097573988,-1.720972723,28.30555246,37.42833661,44.86246907,20.89132538,18.06446184,20.7217266,25.13155019,27.81136984,17.15865345,21.76759935,18.86846799,11
CNOT2,0.684711336,3.198072301,4.77326613,0.000386201,0.255791065,0.091489024,1.607380334,4.704782864,6.976735425,8.360684111,12.0275609,9.814208038,10.78358269,9.559852293,10.87712266,9.813956678,10.33336658,10.55824823,11
AK074476,-0.658328855,1.990994802,-4.716290675,0.000427307,0.265489055,0.013690138,-1.578253395,5.195415357,5.27960379,6.197427598,3.646573755,2.95494795,4.437219794,3.735103483,2.808644361,3.996485511,3.735103483,3.076674874,3
FGF1,-0.736339311,1.887612147,-4.686413287,0.000450658,0.274207193,-0.027334387,-1.665943313,5.779536589,4.89688469,5.451211481,4.419869487,2.588113924,2.981910616,3.513455275,3.88063491,2.562081866,3.043188956,3.182395266,7
RCN1,0.703376128,1.31189004,4.668501392,0.00046529,0.279484531,-0.05200372,1.628310835,1.980728304,1.647099139,1.618966243,3.383306601,3.643976032,2.702256498,2.625030317,2.427578978,2.249976775,2.612679869,3.350448762,6
DFNA5,0.866315861,5.741086561,4.649713429,0.00048117,0.279484531,-0.077939443,1.823001643,40.90524684,31.35847196,32.18058453,55.92865932,54.93925575,76.81544115,67.05944938,46.4847103,56.34223186,95.80759972,62.50780094,10
APOC1,1.010725229,4.770160891,4.640420467,0.000489231,0.279484531,-0.090790422,2.014923729,16.14047488,17.35878295,15.72577238,28.69523018,39.27303005,22.21643597,30.577004,30.577004,28.69523018,57.94710434,36.41826438,8
MIR6840 ,0.757785141,5.023962561,4.619620808,0.000507788,0.279484531,-0.119607644,1.690892733,19.42507561,29.19674368,19.30569259,33.97732448,45.22501046,42.33701974,33.57562058,32.85683618,48.82352822,33.57562058,33.57562058,10
PRUNE2,-2.02406712,6.898035625,-4.611054991,0.000515641,0.279484531,-0.131496914,-4.067287917,244.1267692,440.5756194,336.7468828,40.5063844,65.27124527,38.91157043,119.7069227,213.1210739,78.69861763,75.57561939,122.8326755,11
SCARB2,-0.680686842,2.426617481,-4.610452833,0.000516198,0.279484531,-0.132333178,-1.602902687,8.360684111,6.848430624,7.597859086,5.315194811,5.337527573,5.857383843,3.908815876,5.337527573,4.346156923,3.598226376,4.599014763,4
LRP10,0.823336086,3.35539517,4.604909186,0.000521353,0.279484531,-0.140034985,1.769493039,8.754488663,6.75618753,5.218313347,10.48480235,13.57114879,11.92456498,13.78717412,12.25571713,8.908795652,10.48480235,15.61511741,5
PTPLAD1,-1.236646644,2.184499938,-4.604507045,0.000521729,0.279484531,-0.140593886,-2.356501572,5.716246143,11.59123867,9.199829137,4.284780461,3.546645789,5.072057301,4.284780461,5.024113856,2.710448467,2.412633598,2.588978411,5
CTNND2,0.867703461,3.678519108,4.603592675,0.000522585,0.279484531,-0.141864791,1.824755869,7.597635904,8.896356263,8.360684111,14.24020205,18.64042308,17.43185648,17.86845381,17.91609734,11.36050755,9.814208038,16.24647336,10
UPF3A,-0.552141758,5.190702361,-4.599616817,0.000526325,0.279484531,-0.1473926,-1.466260824,46.59263585,43.02521483,56.01104644,27.93949651,32.8831253,27.72946294,33.98359823,38.60279207,33.23691912,34.42212259,35.9198556,11
STOM,1.684694582,4.457309185,4.594068085,0.00053159,0.279484531,-0.155111762,3.214723335,14.35841041,4.350992244,13.27888131,26.44404318,46.5302494,22.12869331,22.84647253,21.13075104,27.57586015,37.37896264,51.15120176,8
ANGPTL4,0.980268638,2.389571161,4.585716399,0.000539618,0.279484531,-0.166740188,1.972832727,3.318178467,3.45035202,2.85365416,6.90786895,6.040670214,6.554121384,11.23515128,4.602013663,4.775212966,5.903683197,6.279249763,5
C4A ,1.631591049,4.11538436,4.578195141,0.000546956,0.279484531,-0.177222548,3.098545276,6.407422805,5.876632664,11.72555373,18.50483163,27.66076968,20.21548749,18.50483163,14.2878516,18.50483163,34.1686359,55.52029222,10
LOC100506248 ,0.867610289,6.62917481,4.562907475,0.000562193,0.280859732,-0.198558585,1.824638026,79.2603194,62.43196731,52.77623866,104.110245,176.0301648,119.4847103,94.42137622,88.39380121,119.4033358,138.5440571,113.2385861,11
CDC14B,0.678807349,1.167341571,4.560080145,0.000565058,0.280859732,-0.202508858,1.600815841,1.655539206,1.438864884,1.703802602,3.049058808,2.288353064,3.140007063,2.288353064,2.511711285,1.905348826,3.043188956,2.475476041,3
KCNIP4,-0.861355761,4.541356411,-4.523328697,0.00060372,0.288213023,-0.253979935,-1.81674478,30.80694777,45.39857264,33.21198422,19.40516616,13.11552216,23.21432257,25.79176255,21.85287695,18.13733001,16.7558258,23.21432257,11
PDDC1,0.61885169,3.26399938,4.521700107,0.000605495,0.288213023,-0.256266068,1.535652396,7.978377369,6.214228189,7.013359533,10.37435209,13.10776843,13.009904,11.79344826,9.884286973,8.614682708,10.886344,9.56048026,7
CD81,0.777890909,3.824414329,4.498266206,0.000631651,0.296905022,-0.28921059,1.714622415,9.749574608,8.290351641,10.84722338,12.09577894,20.33158137,20.52919444,15.12331194,16.1230004,12.5930767,19.46646956,17.43138073,10
CDK3 ,0.482721622,1.394378531,4.495031155,0.000635352,0.296905022,-0.293765789,1.397377312,1.904196689,2.466888056,1.863545477,3.053125054,3.088618216,3.06366253,3.06366253,2.490231117,2.840789081,2.714643349,2.783966817,4
FAM107A,1.303954948,5.075358063,4.472369141,0.000661922,0.306700034,-0.325724455,2.469048111,19.81175536,10.39756703,25.89537755,30.0709196,45.21198303,67.90482078,30.92742604,33.97694879,43.31083672,47.0151557,60.73580083,7
C12orf76,-0.900966876,2.816452183,-4.453744222,0.00068462,0.309462773,-0.352053575,-1.867317015,9.408445923,10.93330301,13.27360748,6.127170289,6.257707061,7.146712131,3.603399109,6.35653522,6.580011456,4.807227919,7.818232269,6
ZNF285 ,0.529473693,1.82532494,4.426919697,0.000718738,0.316911306,-0.390074389,1.443402534,2.834062533,2.177742436,3.237891324,3.61458454,4.101325117,3.932214223,4.112679494,4.517461933,3.592990128,3.597114553,3.958453261,4
SSBP2,-0.671388386,5.565004123,-4.417227604,0.000731494,0.319745354,-0.403840828,-1.592604883,59.82587225,60.84834666,80.44974687,44.79888698,37.11071109,49.96709587,50.16581437,44.79888698,34.86368212,32.31038159,43.45715514,11
SLC1A3,2.05376151,4.695092058,4.413201696,0.000736862,0.319745354,-0.409563642,4.151870685,17.24125553,5.324603758,8.478886844,19.85215345,57.50318895,66.27188172,20.16290189,30.33059807,26.53413604,44.21198303,83.4057759,8
HAUS2,-0.675174423,0.964072724,-4.407277207,0.000744835,0.320660114,-0.417990076,-1.596789814,2.048322115,3.115303138,3.229947783,1.846282188,1.800307975,1.636000634,1.927468919,2.026476621,1.58995174,1.331731059,1.680006702,3
EPT1,-0.577296882,0.692211365,-4.391224556,0.00076689,0.32217739,-0.440850467,-1.492051033,1.861013116,2.738097218,1.981961632,1.740109812,1.45380764,1.48639641,1.414476316,1.497326766,1.450424943,1.170482918,1.435012979,3
MXI1,0.659677235,4.755659704,4.390432374,0.000767995,0.32217739,-0.441979683,1.579729162,16.85475823,22.54597143,19.13048482,24.41247337,43.21198303,29.30296659,28.08647841,31.44700953,27.61621934,32.68065383,31.21632642,9
MAOA,-0.800050002,2.644827197,-4.360393321,0.000811166,0.33257804,-0.484873435,-1.741161472,8.039575616,7.227363287,14.11792807,6.279535142,6.386470897,4.946995957,5.537284607,4.837567531,5.515814503,4.277241283,5.56780819,8
LOC100288778 ,0.827578585,5.212870916,4.357740009,0.000815098,0.33257804,-0.488669143,1.774704203,16.90198515,29.01253603,29.75915057,43.17909944,36.75743762,37.44604114,52.97457891,48.03016485,41.5800295,56.45391815,35.2538433,9
CPSF4,0.467746519,3.067043359,4.342467692,0.000838116,0.338461922,-0.510538864,1.382947624,6.309836335,7.021105874,6.549075886,10.48480235,9.113868965,8.78722079,10.93823717,7.723249947,8.895366654,9.113868965,8.583418208,3
TCF7L2,1.103441855,3.646361292,4.339999509,0.000841899,0.338461922,-0.514076748,2.148666915,12.27949691,5.356664538,5.62580628,17.12966673,17.59379068,16.44952581,12.64707853,11.08652824,12.5930767,16.33001042,22.43260735,11
SMARCC2,0.515081301,3.158728609,4.330793707,0.000856164,0.339443112,-0.527280833,1.429074671,6.693526511,7.345452272,6.647234532,10.07718113,10.0783115,12.75149551,8.429571077,8.878125456,10.59960442,8.878125456,9.666126393,9
MID1,0.736694451,1.270947416,4.31519135,0.000880915,0.344028707,-0.549690237,1.666353459,2.136038988,1.812258711,1.191502516,2.947674418,2.571832094,3.043188956,2.716662563,2.571832094,3.033874328,2.118220026,3.383014844,8
CRTC3,0.56795449,2.480141564,4.304449566,0.000898384,0.346820678,-0.565140756,1.482420246,4.642583636,3.671196364,4.317131609,6.673246112,6.257707061,5.560899752,5.061324231,5.970674613,8.08233121,6.705542284,5.829735587,7
IFITM2,1.271745891,4.830213513,4.299988324,0.000905744,0.346820678,-0.571562934,2.414535861,15.16098291,15.98935929,13.87668081,24.67680467,53.28645518,41.1617888,23.67312555,24.71274069,29.47089971,49.7527792,63.21198303,9
AK021933,-0.622959655,1.332245678,-4.292970823,0.000917448,0.346820678,-0.581671269,-1.540031281,3.503368,3.17695876,3.679558915,2.053889548,2.235105535,1.706810144,2.117745899,2.760287715,2.345283421,2.02463717,2.895881891,8
DLD,-0.932978348,1.922810496,-4.291583279,0.00091978,0.346820678,-0.583670863,-1.909213375,4.801130663,5.232650288,8.895678016,3.513528999,4.05026147,2.914459436,3.598828732,4.086160008,2.267887644,2.417868541,3.115303138,4
KCTD20,0.563828123,5.126065941,4.267860771,0.000960622,0.35487846,-0.617903743,1.478186316,24.25307192,25.10215002,29.81967759,47.61152296,44.77641606,45.75743757,33.65570806,36.03112709,35.04891322,34.17616136,36.62330674,11
MED13,0.667726833,4.547512886,4.262481816,0.00097014,0.355989472,-0.625677991,1.588567985,19.43849091,15.18884938,15.77857615,30.75745837,28.30622692,24.74239758,19.87382864,22.50939987,24.97291694,29.2986802,34.8195696,11
CD74,1.256703188,4.233683559,4.240226586,0.00101057,0.356764893,-0.657890948,2.389490759,12.04200717,9.857289784,8.385854494,18.96052945,50.9246985,14.77385857,23.58543048,20.14892149,18.75910707,32.44335966,25.44561726,8
CLASP2,-0.674097882,3.327428654,-4.237401814,0.001015824,0.356764893,-0.661985042,-1.595598732,9.881219961,17.29703622,16.40317121,9.814208038,9.612161467,8.860099231,7.597584536,9.814208038,8.33865951,7.579068826,9.443789325,9
CTSH,0.998271596,2.130312944,4.231168569,0.001027519,0.356764893,-0.671023522,1.997605359,3.349126088,2.03816612,2.716662563,4.3764703,8.977076677,6.968826517,4.3764703,4.3764703,4.3764703,4.3764703,6.082018966,5
MTMR1,-0.703187853,1.003068724,-4.229431986,0.001030802,0.356764893,-0.673542698,-1.628098351,2.97640458,2.482168918,3.156361122,2.32360564,1.606451789,1.471960593,1.702671954,2.017845545,1.370675352,1.550507528,2.240927681,3
SLC5A7,-0.907746994,6.046120544,-4.226714054,0.001035961,0.356764893,-0.677486388,-1.876113349,75.77041891,119.7573114,125.4847103,65.8321485,66.54048373,71.82080085,52.63353551,70.61129564,42.3282979,45.75743757,40.67279916,11
SP3,0.601800555,4.487442947,4.217395969,0.001053854,0.356764893,-0.691015337,1.517609437,13.37854444,15.96229952,21.27170243,29.51701123,24.25335597,24.03307722,23.38288615,23.2389418,23.31072844,23.38288615,31.25184365,11
ABCA1,1.419547046,3.839343162,4.202564913,0.001082994,0.356764893,-0.712575646,2.67501512,3.573763477,10.35791862,9.25818604,20.84472497,18.46766709,13.43020502,14.89965737,13.29285896,17.33000437,23.7191821,35.8281099,10
HLA-DMB,0.630483833,1.674524591,4.201441648,0.001085234,0.356764893,-0.714209916,1.548084084,2.283947674,2.221996232,2.47012956,3.015325255,4.514608018,2.879239466,3.400041441,4.698677266,3.551625715,3.954718917,3.180677187,5
FAM126A,1.106549421,2.282605603,4.199135264,0.00108985,0.356764893,-0.717566132,2.153300134,3.377465809,2.355038459,2.716662563,5.0137765,4.697962207,5.0137765,3.788314143,7.031013759,6.282010319,7.659020126,11.06268104,10
SACS,-0.947946436,4.791054375,-4.186026613,0.00111647,0.356764893,-0.736656784,-1.929124743,32.51608292,47.93925575,57.09105113,23.72701431,26.06038513,26.06038513,22.3020213,34.04269427,15.18047096,17.23937869,25.70541081,11
ZMIZ2,0.50247313,4.383650529,4.18397382,0.001120699,0.356764893,-0.739648672,1.416639948,14.75815164,17.48389701,16.48693775,25.19680399,22.02296325,27.35432569,24.38941941,20.67824422,18.21518944,24.58639958,22.48081825,5
GREM2,-0.657326833,1.327694091,-4.179024643,0.001130962,0.356764893,-0.74686454,-1.577157603,2.794509298,3.450326159,4.431890348,2.186835599,2.132381276,1.931647267,2.291333379,2.706718478,1.764196651,2.744660391,2.155275028,10
AKT3,-0.403411478,0.857694859,-4.172983674,0.001143622,0.356764893,-0.755677168,-1.322631785,2.129169891,2.236860884,2.299768223,1.951716117,1.815847692,1.585282122,1.735109873,1.762525385,1.549237953,1.497226954,1.585282122,6
MAFF,1.179061073,5.126229738,4.168679876,0.00115273,0.356764893,-0.761958892,2.264293655,14.62911408,21.50128779,22.77013064,56.87714745,48.33550525,73.92556576,38.5473332,26.0087068,27.39360189,45.90634696,51.39919944,11
KIAA1033,-0.581421987,2.798570231,-4.164576288,0.001161484,0.356764893,-0.767950947,-1.496323367,8.360684111,12.03631321,8.063046879,6.789536188,6.789536188,6.789536188,6.717126918,6.695765682,5.73536579,4.987787705,5.659547938,10
DSTN,-1.053379228,4.004093841,-4.15557641,0.001180924,0.360709707,-0.781101256,-2.075385339,20.57240321,27.55833315,35.84023818,20.00929339,14.21450634,12.41125859,17.45436141,15.4478605,12.44772702,8.76704069,8.599481518,11
KRT222,-1.112772846,1.600822881,-4.149279619,0.001194725,0.360914854,-0.790308988,-2.162608996,3.989397166,4.571077312,8.234218275,2.283231345,3.286321005,2.716662563,2.755739477,3.23142971,2.56599902,1.310636892,2.18090723,7
SERPINE2,1.567631956,3.553843227,4.131965534,0.001233535,0.362681085,-0.815657094,2.964177737,11.54642714,3.336029235,3.927837504,12.9742737,19.32671613,18.86920491,14.09721961,13.77724934,8.302082569,17.34047164,29.28045898,8
RALGPS1,-0.682653282,1.059347602,-4.110415678,0.00128366,0.368981643,-0.847267222,-1.605088985,3.612384179,2.172659738,3.237891324,1.722775525,1.78538439,2.001173106,1.704662653,2.001173106,1.355529775,2.001173106,2.224536931,4
FBXO9,-0.683077138,5.24969241,-4.108175652,0.001288989,0.368981643,-0.850556816,-1.605560621,42.45394316,57.49365419,63.39380121,29.94368106,37.84308094,40.19304473,37.84308094,38.48426369,24.4924423,28.57377931,33.66409531,11
